Mitad_semana,Filas_unicas
2021-00,0.0
2021-00.5,0.0
2021-01,0.0
2021-01.5,0.0
2021-02,0.0
2021-02.5,0.0
2021-03,2.0
2021-03.5,0.0
2021-04,0.0
2021-04.5,0.0
2021-05,0.0
2021-05.5,0.0
2021-06,0.0
2021-06.5,0.0
2021-07,0.0
2021-07.5,1.0
2021-08,0.0
2021-08.5,0.0
2021-09,0.0
2021-09.5,0.0
2021-10,1.0
2021-10.5,0.0
2021-11,1.0
2021-11.5,0.0
2021-12,0.0
2021-12.5,0.0
2021-13,0.0
2021-13.5,0.0
2021-14,0.0
2021-14.5,0.0
2021-15,0.0
2021-15.5,0.0
2021-16,1.0
2021-16.5,0.0
2021-17,0.0
2021-17.5,0.0
2021-18,0.0
2021-18.5,1.0
2021-19,0.0
2021-19.5,0.0
2021-20,1.0
2021-20.5,0.0
2021-21,0.0
2021-21.5,0.0
2021-22,0.0
2021-22.5,0.0
2021-23,0.0
2021-23.5,0.0
2021-24,1.0
2021-24.5,0.0
2021-25,0.0
2021-25.5,1.0
2021-26,1.0
2021-26.5,0.0
2021-27,0.0
2021-27.5,1.0
2021-28,2.0
2021-28.5,0.0
2021-29,3.0
2021-29.5,3.0
2021-30,0.0
2021-30.5,0.0
2021-31,0.0
2021-31.5,0.0
2021-32,0.0
2021-32.5,1.0
2021-33,0.0
2021-33.5,0.0
2021-34,1.0
2021-34.5,0.0
2021-35,0.0
2021-35.5,0.0
2021-36,1.0
2021-36.5,0.0
2021-37,0.0
2021-37.5,0.0
2021-38,2.0
2021-38.5,0.0
2021-39,0.0
2021-39.5,0.0
2021-40,2.0
2021-40.5,0.0
2021-41,0.0
2021-41.5,0.0
2021-42,1.0
2021-42.5,1.0
2021-43,1.0
2021-43.5,1.0
2021-44,1.0
2021-44.5,1.0
2021-45,0.0
2021-45.5,0.0
2021-46,2.0
2021-46.5,0.0
2021-47,0.0
2021-47.5,0.0
2021-48,1.0
2021-48.5,0.0
2021-49,0.0
2021-49.5,0.0
2021-50,0.0
2021-50.5,2.0
2021-51,2.0
2021-51.5,1.0
2021-52,0.0
2021-52.5,0.0
