Semana,Filas_unicas
2022-00,0.0
2022-01,0.0
2022-02,1.0
2022-03,1.0
2022-04,1.0
2022-05,5.0
2022-06,1.0
2022-07,1.0
2022-08,2.0
2022-09,1.0
2022-10,1.0
2022-11,0.0
2022-12,3.0
2022-13,2.0
2022-14,1.0
2022-15,2.0
2022-16,6.0
2022-17,3.0
2022-18,1.0
2022-19,4.0
2022-20,4.0
2022-21,3.0
2022-22,0.0
2022-23,1.0
2022-24,3.0
2022-25,1.0
2022-26,1.0
2022-27,1.0
2022-28,4.0
2022-29,1.0
2022-30,1.0
2022-31,1.0
2022-32,2.0
2022-33,0.0
2022-34,1.0
2022-35,2.0
2022-36,2.0
2022-37,0.0
2022-38,3.0
2022-39,2.0
2022-40,1.0
2022-41,0.0
2022-42,0.0
2022-43,3.0
2022-44,3.0
2022-45,1.0
2022-46,2.0
2022-47,0.0
2022-48,2.0
2022-49,4.0
2022-50,2.0
2022-51,8.0
2022-52,2.0
