strength,date,Unnamed: 2,filename
421,2011-02-24,2011-02-15,AR_LIST_2011.02.15_12:00:00.txt
456,2011-02-24,2011-02-16,AR_LIST_2011.02.16_00:00:00.txt
478,2011-02-24,2011-02-16,AR_LIST_2011.02.16_12:00:00.txt
399,2011-02-24,2011-02-17,AR_LIST_2011.02.17_00:00:00.txt
347,2011-02-24,2011-02-17,AR_LIST_2011.02.17_12:00:00.txt
248,2011-02-24,2011-02-18,AR_LIST_2011.02.18_00:00:00.txt
552,2011-02-24,2011-02-18,AR_LIST_2011.02.18_12:00:00.txt
546,2011-02-25,2011-02-19,AR_LIST_2011.02.19_00:00:00.txt
686,2011-02-24,2011-02-19,AR_LIST_2011.02.19_12:00:00.txt
789,2011-02-25,2011-02-20,AR_LIST_2011.02.20_00:00:00.txt
759,2011-02-24,2011-02-20,AR_LIST_2011.02.20_12:00:00.txt
665,2011-02-25,2011-02-21,AR_LIST_2011.02.21_00:00:00.txt
643,2011-02-24,2011-02-21,AR_LIST_2011.02.21_12:00:00.txt
652,2011-02-25,2011-02-22,AR_LIST_2011.02.22_00:00:00.txt
629,2011-02-24,2011-02-22,AR_LIST_2011.02.22_12:00:00.txt
585,2011-02-25,2011-02-23,AR_LIST_2011.02.23_00:00:00.txt
545,2011-02-24,2011-02-23,AR_LIST_2011.02.23_12:00:00.txt
513,2011-02-25,2011-02-24,AR_LIST_2011.02.24_00:00:00.txt
485,2011-02-24,2011-02-24,AR_LIST_2011.02.24_12:00:00.txt
270,2011-02-25,2011-02-25,AR_LIST_2011.02.25_00:00:00.txt
12,2011-02-25,2011-02-25,AR_LIST_2011.02.25_12:00:00.txt
404,2011-03-06,2011-02-25,AR_LIST_2011.02.25_12:00:00.txt
307,2011-03-06,2011-02-26,AR_LIST_2011.02.26_00:00:00.txt
411,2011-03-06,2011-02-26,AR_LIST_2011.02.26_12:00:00.txt
270,2011-03-06,2011-02-27,AR_LIST_2011.02.27_00:00:00.txt
325,2011-03-06,2011-02-27,AR_LIST_2011.02.27_12:00:00.txt
213,2011-03-06,2011-02-28,AR_LIST_2011.02.28_00:00:00.txt
263,2011-03-06,2011-02-28,AR_LIST_2011.02.28_12:00:00.txt
189,2011-03-06,2011-03-01,AR_LIST_2011.03.01_00:00:00.txt
230,2011-03-05,2011-03-01,AR_LIST_2011.03.01_12:00:00.txt
186,2011-03-06,2011-03-02,AR_LIST_2011.03.02_00:00:00.txt
193,2011-03-05,2011-03-02,AR_LIST_2011.03.02_12:00:00.txt
166,2011-03-06,2011-03-03,AR_LIST_2011.03.03_00:00:00.txt
153,2011-03-05,2011-03-03,AR_LIST_2011.03.03_12:00:00.txt
92,2011-03-06,2011-03-04,AR_LIST_2011.03.04_00:00:00.txt
66,2011-03-05,2011-03-04,AR_LIST_2011.03.04_12:00:00.txt
