Mitad_semana,Filas_unicas,
2014-00,2.0,1446.0
2014-00.5,2.0,253.3333333333333
2014-01,1.0,455.1818181818182
2014-01.5,1.0,0.0
2014-02,1.0,1562.0
2014-02.5,1.0,1040.7272727272727
2014-03,4.0,328.2142857142857
2014-03.5,0.0,0.0
2014-04,4.0,2437.851851851852
2014-04.5,0.0,0.0
2014-05,0.0,0.0
2014-05.5,3.0,0.0
2014-06,4.0,426.71875
2014-06.5,0.0,284.77777777777777
2014-07,1.0,654.6666666666666
2014-07.5,1.0,0.0
2014-08,4.0,1129.6041666666667
2014-08.5,1.0,0.0
2014-09,0.0,1218.2916666666667
2014-09.5,1.0,1113.8636363636365
2014-10,2.0,796.7058823529412
2014-10.5,1.0,653.9166666666666
2014-11,4.0,514.0882352941177
2014-11.5,1.0,665.55
2014-12,0.0,672.3809523809524
2014-12.5,1.0,521.6428571428571
2014-13,4.0,718.25
2014-13.5,0.0,529.5
2014-14,1.0,450.1428571428572
2014-14.5,3.0,972.1
2014-15,1.0,827.7619047619048
2014-15.5,1.0,366.75
2014-16,2.0,320.29411764705884
2014-16.5,0.0,474.0
2014-17,2.0,0.0
2014-17.5,0.0,0.0
2014-18,3.0,1503.46875
2014-18.5,2.0,1265.842105263158
2014-19,1.0,812.5
2014-19.5,1.0,0.0
2014-20,2.0,982.1379310344828
2014-20.5,2.0,247.95454545454547
2014-21,1.0,317.52941176470586
2014-21.5,1.0,0.0
2014-22,1.0,2431.6
2014-22.5,0.0,326.0
2014-23,1.0,1262.1739130434785
2014-23.5,1.0,0.0
2014-24,2.0,856.5714285714286
2014-24.5,0.0,812.0
2014-25,3.0,699.0
2014-25.5,0.0,3955.285714285714
2014-26,6.0,2196.333333333333
2014-26.5,3.0,1016.0
2014-27,3.0,1175.1875
2014-27.5,0.0,743.9230769230769
2014-28,0.0,1297.7894736842106
2014-28.5,0.0,0.0
2014-29,1.0,1263.5263157894738
2014-29.5,0.0,1514.952380952381
2014-30,7.0,3289.478260869565
2014-30.5,0.0,705.4137931034483
2014-31,1.0,0.0
2014-31.5,1.0,109.0
2014-32,1.0,629.45
2014-32.5,1.0,0.0
2014-33,4.0,0.0
2014-33.5,3.0,2282.1153846153848
2014-34,1.0,776.3684210526316
2014-34.5,0.0,449.88235294117646
2014-35,0.0,896.1379310344828
2014-35.5,4.0,1376.1764705882354
2014-36,1.0,887.05
2014-36.5,2.0,1487.047619047619
2014-37,1.0,2005.7368421052631
2014-37.5,3.0,1015.8214285714286
2014-38,3.0,786.9333333333333
2014-38.5,2.0,1434.9666666666667
2014-39,2.0,1043.590909090909
2014-39.5,1.0,2148.866666666667
2014-40,1.0,1115.051282051282
2014-40.5,0.0,953.970588235294
2014-41,2.0,4646.766666666666
2014-41.5,1.0,2805.40625
2014-42,0.0,1688.0217391304348
2014-42.5,3.0,1209.4375
2014-43,0.0,1802.2083333333333
2014-43.5,1.0,1408.9411764705883
2014-44,1.0,870.625
2014-44.5,0.0,2280.266666666667
2014-45,2.0,3480.538461538461
2014-45.5,2.0,4862.75
2014-46,0.0,1880.1
2014-46.5,1.0,630.6666666666666
2014-47,2.0,3215.414634146341
2014-47.5,2.0,1272.7692307692307
2014-48,1.0,953.6666666666666
2014-48.5,0.0,1789.111111111111
2014-49,1.0,3638.0208333333335
2014-49.5,3.0,327.5833333333333
2014-50,0.0,2388.1935483870966
2014-50.5,0.0,540.25
2014-51,3.0,1535.3148148148148
2014-51.5,0.0,1788.8974358974358
2014-52,3.0,1145.8055555555557
2014-52.5,0.0,0.0
