Semana,Filas_unicas,
2017-01,0.0,0.0
2017-02,2.0,0.0
2017-03,0.0,0.0
2017-04,0.0,0.0
2017-05,0.0,0.0
2017-06,1.0,0.0
2017-07,0.0,497.4166666666667
2017-08,1.0,304.1428571428572
2017-09,0.0,0.0
2017-10,0.0,0.0
2017-11,0.0,381.1111111111111
2017-12,1.0,0.0
2017-13,0.0,0.0
2017-14,2.0,0.0
2017-15,1.0,0.0
2017-16,2.0,645.46875
2017-17,0.0,0.0
2017-18,0.0,0.0
2017-19,0.0,0.0
2017-20,1.0,0.0
2017-21,0.0,0.0
2017-22,2.0,0.0
2017-23,0.0,0.0
2017-24,1.0,0.0
2017-25,1.0,0.0
2017-26,0.0,0.0
2017-27,2.0,0.0
2017-28,0.0,0.0
2017-29,0.0,0.0
2017-30,0.0,0.0
2017-31,0.0,595.5714285714286
2017-32,0.0,0.0
2017-33,2.0,0.0
2017-34,2.0,0.0
2017-35,3.0,0.0
2017-36,1.0,0.0
2017-37,1.0,0.0
2017-38,1.0,750.8333333333334
2017-39,2.0,554.2
2017-40,0.0,0.0
2017-41,0.0,0.0
2017-42,0.0,228.5
2017-43,2.0,235.0
2017-44,0.0,0.0
2017-45,0.0,0.0
2017-46,1.0,0.0
2017-47,0.0,0.0
2017-48,0.0,0.0
2017-49,0.0,0.0
2017-50,0.0,0.0
2017-51,0.0,0.0
2017-52,0.0,0.0
2017-53,0.0,0.0
