Mitad_semana,Filas_unicas,strength,date
2020-00,0.0,2020-46,1649.8333333333333
2020-00.5,0.0,2020-46.5,2136.1666666666665
2020-01,0.0,2020-47,973.6
2020-01.5,0.0,2020-50,816.75
2020-02,0.0,2020-50.5,360.5
2020-02.5,0.0,2020-51,90.5
2020-03,0.0,,
2020-03.5,0.0,,
2020-04,0.0,,
2020-04.5,0.0,,
2020-05,0.0,,
2020-05.5,0.0,,
2020-06,0.0,,
2020-06.5,0.0,,
2020-07,0.0,,
2020-07.5,0.0,,
2020-08,0.0,,
2020-08.5,0.0,,
2020-09,0.0,,
2020-09.5,0.0,,
2020-10,0.0,,
2020-10.5,0.0,,
2020-11,0.0,,
2020-11.5,0.0,,
2020-12,0.0,,
2020-12.5,0.0,,
2020-13,0.0,,
2020-13.5,0.0,,
2020-14,0.0,,
2020-14.5,0.0,,
2020-15,0.0,,
2020-15.5,0.0,,
2020-16,0.0,,
2020-16.5,0.0,,
2020-17,0.0,,
2020-17.5,0.0,,
2020-18,0.0,,
2020-18.5,0.0,,
2020-19,0.0,,
2020-19.5,0.0,,
2020-20,0.0,,
2020-20.5,0.0,,
2020-21,0.0,,
2020-21.5,0.0,,
2020-22,0.0,,
2020-22.5,1.0,,
2020-23,0.0,,
2020-23.5,0.0,,
2020-24,0.0,,
2020-24.5,0.0,,
2020-25,0.0,,
2020-25.5,0.0,,
2020-26,0.0,,
2020-26.5,0.0,,
2020-27,0.0,,
2020-27.5,0.0,,
2020-28,0.0,,
2020-28.5,0.0,,
2020-29,1.0,,
2020-29.5,0.0,,
2020-30,1.0,,
2020-30.5,0.0,,
2020-31,1.0,,
2020-31.5,0.0,,
2020-32,0.0,,
2020-32.5,0.0,,
2020-33,0.0,,
2020-33.5,0.0,,
2020-34,0.0,,
2020-34.5,0.0,,
2020-35,0.0,,
2020-35.5,0.0,,
2020-36,0.0,,
2020-36.5,0.0,,
2020-37,0.0,,
2020-37.5,0.0,,
2020-38,0.0,,
2020-38.5,1.0,,
2020-39,0.0,,
2020-39.5,0.0,,
2020-40,0.0,,
2020-40.5,0.0,,
2020-41,0.0,,
2020-41.5,1.0,,
2020-42,0.0,,
2020-42.5,0.0,,
2020-43,0.0,,
2020-43.5,0.0,,
2020-44,1.0,,
2020-44.5,0.0,,
2020-45,0.0,,
2020-45.5,1.0,,
2020-46,1.0,,
2020-46.5,0.0,,
2020-47,2.0,,
2020-47.5,1.0,,
2020-48,1.0,,
2020-48.5,0.0,,
2020-49,0.0,,
2020-49.5,0.0,,
2020-50,1.0,,
2020-50.5,0.0,,
2020-51,2.0,,
2020-51.5,1.0,,
2020-52,0.0,,
2020-52.5,0.0,,
