Mitad_semana,Filas_unicas,
2022-00,0.0,0.0
2022-00.5,0.0,342.8
2022-01,0.0,575.2727272727273
2022-01.5,0.0,705.75
2022-02,1.0,932.4117647058824
2022-02.5,0.0,632.5555555555555
2022-03,0.0,715.75
2022-03.5,1.0,40.5
2022-04,0.0,0.0
2022-04.5,1.0,576.125
2022-05,3.0,626.0909090909091
2022-05.5,2.0,340.2
2022-06,0.0,667.7
2022-06.5,1.0,727.0909090909091
2022-07,0.0,3179.222222222222
2022-07.5,1.0,1991.111111111111
2022-08,2.0,1246.75
2022-08.5,0.0,1189.625
2022-09,0.0,1489.111111111111
2022-09.5,1.0,524.2307692307693
2022-10,1.0,317.1333333333333
2022-10.5,0.0,80.66666666666667
2022-11,0.0,586.7368421052631
2022-11.5,0.0,312.72727272727275
2022-12,1.0,957.9285714285714
2022-12.5,2.0,1425.2142857142858
2022-13,2.0,1197.8333333333333
2022-13.5,0.0,1229.2857142857142
2022-14,1.0,623.0909090909091
2022-14.5,0.0,1489.8333333333333
2022-15,1.0,2224.692307692308
2022-15.5,1.0,2479.769230769231
2022-16,5.0,733.9615384615385
2022-16.5,1.0,878.375
2022-17,3.0,595.0769230769231
2022-17.5,0.0,1302.6
2022-18,0.0,1025.2962962962963
2022-18.5,1.0,2725.1666666666665
2022-19,1.0,3222.3571428571427
2022-19.5,3.0,1628.076923076923
2022-20,3.0,610.5
2022-20.5,1.0,936.4761904761904
2022-21,1.0,737.1333333333333
2022-21.5,2.0,1102.3684210526317
2022-22,0.0,1318.0
2022-22.5,0.0,2014.0416666666667
2022-23,0.0,1928.3478260869565
2022-23.5,1.0,1110.6666666666667
2022-24,3.0,573.4583333333334
2022-24.5,0.0,382.7
2022-25,1.0,612.5882352941177
2022-25.5,0.0,872.3333333333334
2022-26,0.0,1015.2105263157896
2022-26.5,1.0,1771.5384615384614
2022-27,1.0,1453.6666666666667
2022-27.5,0.0,920.25
2022-28,2.0,358.5
2022-28.5,2.0,1205.5454545454545
2022-29,1.0,700.8888888888889
2022-29.5,0.0,822.8888888888889
2022-30,1.0,795.3658536585366
2022-30.5,0.0,1067.4642857142858
2022-31,0.0,999.217391304348
2022-31.5,1.0,519.0833333333334
2022-32,2.0,650.25
2022-32.5,0.0,763.1666666666666
2022-33,0.0,85.33333333333333
2022-33.5,0.0,0.0
2022-34,1.0,0.0
2022-34.5,0.0,839.7142857142857
2022-35,0.0,932.8620689655172
2022-35.5,2.0,1730.095238095238
2022-36,2.0,2067.25
2022-36.5,0.0,2558.181818181818
2022-37,0.0,2391.5
2022-37.5,0.0,2486.428571428572
2022-38,2.0,1257.6176470588234
2022-38.5,1.0,1974.1739130434785
2022-39,1.0,1636.0
2022-39.5,1.0,2192.0
2022-40,1.0,1276.5185185185185
2022-40.5,0.0,760.8571428571429
2022-41,0.0,804.6444444444444
2022-41.5,0.0,1518.923076923077
2022-42,0.0,1132.1666666666667
2022-42.5,0.0,1499.8333333333333
2022-43,2.0,2201.264705882353
2022-43.5,1.0,2347.45
2022-44,1.0,1685.0967741935483
2022-44.5,2.0,1091.409090909091
2022-45,1.0,637.4516129032259
2022-45.5,0.0,698.75
2022-46,0.0,566.03125
2022-46.5,2.0,965.0
2022-47,0.0,1664.0833333333333
2022-47.5,0.0,2610.285714285714
2022-48,0.0,2029.125
2022-48.5,2.0,1030.6190476190477
2022-49,4.0,762.5
2022-49.5,0.0,738.3809523809524
2022-50,1.0,1802.9166666666667
2022-50.5,1.0,1371.96875
2022-51,5.0,1228.4
2022-51.5,3.0,2348.6129032258063
2022-52,1.0,2117.0943396226417
2022-52.5,1.0,2954.1363636363635
