Semana,Filas_unicas
2011-00,1.0
2011-01,0.0
2011-02,0.0
2011-03,2.0
2011-04,1.0
2011-05,0.0
2011-06,0.0
2011-07,1.0
2011-08,2.0
2011-09,2.0
2011-10,2.0
2011-11,0.0
2011-12,5.0
2011-13,1.0
2011-14,2.0
2011-15,2.0
2011-16,3.0
2011-17,2.0
2011-18,0.0
2011-19,0.0
2011-20,2.0
2011-21,2.0
2011-22,5.0
2011-23,0.0
2011-24,2.0
2011-25,0.0
2011-26,1.0
2011-27,0.0
2011-28,2.0
2011-29,1.0
2011-30,2.0
2011-31,0.0
2011-32,0.0
2011-33,3.0
2011-34,5.0
2011-35,3.0
2011-36,3.0
2011-37,3.0
2011-38,3.0
2011-39,4.0
2011-40,3.0
2011-41,2.0
2011-42,4.0
2011-43,3.0
2011-44,4.0
2011-45,7.0
2011-46,6.0
2011-47,4.0
2011-48,3.0
2011-49,3.0
2011-50,0.0
2011-51,4.0
2011-52,3.0
