ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12104,268.0,160.0,Dso,4.0,8,Beta,-12.0,54.0
I,12106,262.0,90.0,Hsx,2.0,3,Alpha,15.0,48.0
I,12107,255.0,200.0,Cso,5.0,3,Beta,-18.0,41.0
I,12108,239.0,890.0,Ekc,11.0,26,Beta-Gamma-Delta,-7.0,25.0
I,12109,218.0,710.0,Dkc,10.0,22,Beta-Gamma-Delta,-8.0,4.0
I,12110,235.0,10.0,Bxo,5.0,4,Beta,-15.0,21.0
I,12111,204.0,40.0,Hsx,2.0,2,Alpha,7.0,-9.0
I,12112,299.0,0.0,Axx,1.0,1,Alpha,-16.0,85.0
I,12113,166.0,60.0,Csi,6.0,12,Beta-Gamma,10.0,-48.0
I,12114,151.0,80.0,Dai,5.0,7,Beta,-19.0,-62.0
I,12115,252.0,40.0,Dao,4.0,11,Beta,8.0,38.0
IA,12102,280.0,,,,,,11.0,65.0
IA,12103,297.0,,,,,,-8.0,82.0
