Mitad_semana,Filas_unicas
2014-00,2.0
2014-00.5,2.0
2014-01,1.0
2014-01.5,1.0
2014-02,1.0
2014-02.5,1.0
2014-03,4.0
2014-03.5,0.0
2014-04,4.0
2014-04.5,0.0
2014-05,0.0
2014-05.5,3.0
2014-06,4.0
2014-06.5,0.0
2014-07,1.0
2014-07.5,1.0
2014-08,4.0
2014-08.5,1.0
2014-09,0.0
2014-09.5,1.0
2014-10,2.0
2014-10.5,1.0
2014-11,4.0
2014-11.5,1.0
2014-12,0.0
2014-12.5,1.0
2014-13,4.0
2014-13.5,0.0
2014-14,1.0
2014-14.5,3.0
2014-15,1.0
2014-15.5,1.0
2014-16,2.0
2014-16.5,0.0
2014-17,2.0
2014-17.5,0.0
2014-18,3.0
2014-18.5,2.0
2014-19,1.0
2014-19.5,1.0
2014-20,2.0
2014-20.5,2.0
2014-21,1.0
2014-21.5,1.0
2014-22,1.0
2014-22.5,0.0
2014-23,1.0
2014-23.5,1.0
2014-24,2.0
2014-24.5,0.0
2014-25,3.0
2014-25.5,0.0
2014-26,6.0
2014-26.5,3.0
2014-27,3.0
2014-27.5,0.0
2014-28,0.0
2014-28.5,0.0
2014-29,1.0
2014-29.5,0.0
2014-30,7.0
2014-30.5,0.0
2014-31,1.0
2014-31.5,1.0
2014-32,1.0
2014-32.5,1.0
2014-33,4.0
2014-33.5,3.0
2014-34,1.0
2014-34.5,0.0
2014-35,0.0
2014-35.5,4.0
2014-36,1.0
2014-36.5,2.0
2014-37,1.0
2014-37.5,3.0
2014-38,3.0
2014-38.5,2.0
2014-39,2.0
2014-39.5,1.0
2014-40,1.0
2014-40.5,0.0
2014-41,2.0
2014-41.5,1.0
2014-42,0.0
2014-42.5,3.0
2014-43,0.0
2014-43.5,1.0
2014-44,1.0
2014-44.5,0.0
2014-45,2.0
2014-45.5,2.0
2014-46,0.0
2014-46.5,1.0
2014-47,2.0
2014-47.5,2.0
2014-48,1.0
2014-48.5,0.0
2014-49,1.0
2014-49.5,3.0
2014-50,0.0
2014-50.5,0.0
2014-51,3.0
2014-51.5,0.0
2014-52,3.0
2014-52.5,0.0
