Designation,Strength,Prediction Date
FS-2011-001_2011-02,508.57142857142856,2011-02-25.3
FS-2011-002_2011-02,196.94444444444446,2011-03-06.6
FS-2011-003_2011-03,907.6818181818181,2011-03-22.3
FS-2011-004_2011-03,573.5,2011-03-24.9
FS-2011-005_2011-03,424.5625,2011-03-29.7
FS-2011-006_2011-03,157.625,2011-04-07.7
FS-2011-007_2011-04,534.8,2011-05-01.3
FS-2011-008_2011-04,438.3636363636364,2011-05-04.5
FS-2011-009_2011-04,266.75,2011-05-10.1
FS-2011-010_2011-05,354.625,2011-06-01.1
FS-2011-011_2011-06,1040.842105263158,2011-06-14.1
FS-2011-012_2011-07,520.2857142857143,2011-07-10.9
FS-2011-013_2011-08,483.8181818181818,2011-08-24.6
FS-2011-014_2011-08,628.6153846153846,2011-09-06.4
FS-2011-015_2011-09,1297.2,2011-09-12.3
FS-2011-016_2011-09,1472.0833333333333,2011-09-19.0
FS-2011-017_2011-09,281.47058823529414,2011-09-25.9
FS-2011-018_2011-09,1234.375,2011-10-02.0
FS-2011-019_2011-09,317.0,2011-09-24.3
FS-2011-020_2011-09,901.5909090909091,2011-10-01.3
FS-2011-021_2011-09,804.7916666666666,2011-10-02.5
FS-2011-022_2011-09,775.8,2011-10-04.1
FS-2011-023_2011-09,2021.0,2011-10-09.4
FS-2011-024_2011-10,563.25,2011-10-16.1
FS-2011-025_2011-10,434.61538461538464,2011-10-19.1
FS-2011-026_2011-10,669.5,2011-10-18.1
FS-2011-027_2011-10,367.8,2011-10-20.1
FS-2011-028_2011-10,280.42857142857144,2011-10-25.3
FS-2011-029_2011-10,191.33333333333334,2011-11-01.8
FS-2011-030_2011-10,1898.4545454545455,2011-11-02.2
FS-2011-031_2011-10,722.1333333333333,2011-10-30.4
FS-2011-032_2011-10,1387.0,2011-11-02.2
FS-2011-033_2011-10,374.6666666666667,2011-11-05.6
FS-2011-034_2011-10,1275.1904761904761,2011-11-06.2
FS-2011-035_2011-10,271.3333333333333,2011-11-05.4
FS-2011-036_2011-10,500.88235294117646,2011-11-08.0
FS-2011-037_2011-11,317.3157894736842,2011-11-12.1
FS-2011-038_2011-11,907.9090909090909,2011-11-14.1
FS-2011-039_2011-11,179.83333333333334,2011-11-11.3
FS-2011-040_2011-11,222.71428571428572,2011-11-17.1
FS-2011-041_2011-11,944.375,2011-11-20.2
FS-2011-042_2011-11,401.4,2011-11-18.2
FS-2011-043_2011-11,758.3333333333334,2011-11-29.0
FS-2011-044_2011-11,1759.0384615384614,2011-11-30.4
FS-2011-045_2011-11,702.8888888888889,2011-12-02.9
FS-2011-046_2011-11,285.55555555555554,2011-12-08.6
FS-2011-047_2011-12,650.7826086956521,2011-12-12.1
FS-2011-048_2011-12,660.8235294117648,2011-12-20.1
FS-2011-049_2011-12,277.14285714285717,2011-12-21.5
FS-2011-050_2011-12,661.7272727272727,2011-12-26.3
FS-2011-051_2011-12,871.7,2011-12-28.2
FS-2011-052_2011-12,1119.875,2012-01-07.4
