Designation,Date,Carrington Longitude
11642,2013-01-01,256.0
11644,2013-01-03,234.6
11646,2013-01-04,230.5
11649,2013-01-05,200.3
11650,2013-01-05,197.3
11652,2013-01-06,187.1
11653,2013-01-06,183.1
11654,2013-01-09,150.6
11658,2013-01-14,92.8
11661,2013-01-23,337.3
11662,2013-01-24,320.1
11665,2013-01-30,244.1
11666,2013-01-30,244.1
11667,2013-02-02,203.6
11671,2013-02-12,75.9
11673,2013-02-16,14.3
11676,2013-02-17,350.1
11677,2013-02-18,349.9
11681,2013-02-26,250.6
11683,2013-02-28,204.2
11685,2013-03-02,184.9
11687,2013-03-04,165.5
11689,2013-03-05,154.4
11690,2013-03-07,122.0
11692,2013-03-10,76.5
11694,2013-03-11,72.3
11695,2013-03-12,55.1
11704,2013-03-24,252.9
11708,2013-03-29,190.0
11711,2013-03-31,157.6
11714,2013-04-03,130.0
11717,2013-04-06,89.5
11719,2013-04-06,77.5
11724,2013-04-14,339.9
11727,2013-04-20,273.6
11728,2013-04-24,215.8
11731,2013-04-26,190.4
11732,2013-04-28,158.9
11734,2013-04-30,133.5
11738,2013-05-04,82.6
11739,2013-05-04,70.6
11740,2013-05-05,68.4
11741,2013-05-07,47.0
11744,2013-05-10,5.3
11745,2013-05-11,340.1
11746,2013-05-12,336.9
11748,2013-05-14,292.4
11753,2013-05-21,217.8
11755,2013-05-22,205.6
11757,2013-05-26,144.7
11758,2013-05-27,128.5
11759,2013-05-28,120.2
11760,2013-05-30,98.8
11769,2013-06-14,262.2
11770,2013-06-14,256.2
11771,2013-06-15,246.0
11772,2013-06-15,255.0
11773,2013-06-16,232.8
11774,2013-06-16,238.8
11775,2013-06-16,222.8
11777,2013-06-21,164.6
11778,2013-06-23,129.1
11783,2013-07-01,40.2
11785,2013-07-02,9.0
11787,2013-07-04,348.5
