Designation,Carrington Longitude,Strength,Detection Date,Prediction Date
FS-2012-046,229.8,447,2013-01-01,2013-01-01.6
FS-2012-046,226.6,178,2013-01-01,2013-01-01.4
FS-2012-046,222.4,95,2013-01-02,2013-01-02.2
FS-2013-001,181.2,464,2013-01-02,2013-01-04.9
FS-2013-001,181.0,643,2013-01-03,2013-01-05.4
FS-2013-001,181.1,656,2013-01-03,2013-01-04.9
FS-2013-001,180.8,719,2013-01-04,2013-01-04.9
FS-2013-001,181.0,701,2013-01-04,2013-01-05.4
FS-2013-001,175.6,383,2013-01-05,2013-01-05.3
FS-2013-001,179.2,730,2013-01-05,2013-01-05.5
FS-2013-001,171.3,60,2013-01-06,2013-01-06.1
FS-2013-002,143.8,459,2013-01-03,2013-01-08.1
FS-2013-002,142.4,539,2013-01-03,2013-01-07.7
FS-2013-002,143.1,753,2013-01-04,2013-01-07.6
FS-2013-002,143.7,685,2013-01-04,2013-01-08.1
FS-2013-002,143.9,826,2013-01-05,2013-01-07.6
FS-2013-002,144.5,844,2013-01-05,2013-01-08.0
FS-2013-002,143.5,1038,2013-01-06,2013-01-07.6
FS-2013-002,144.6,934,2013-01-06,2013-01-08.0
FS-2013-002,142.6,1048,2013-01-07,2013-01-07.7
FS-2013-002,143.4,1157,2013-01-07,2013-01-08.1
FS-2013-002,140.5,646,2013-01-08,2013-01-08.4
FS-2013-002,136.9,191,2013-01-08,2013-01-08.2
FS-2013-003,321.8,500,2013-01-12,2013-01-21.8
FS-2013-003,320.7,715,2013-01-13,2013-01-22.4
FS-2013-003,320.0,1071,2013-01-13,2013-01-21.9
FS-2013-003,319.9,1091,2013-01-14,2013-01-21.9
FS-2013-003,320.5,1021,2013-01-14,2013-01-22.3
FS-2013-003,320.7,881,2013-01-15,2013-01-22.3
FS-2013-003,319.7,861,2013-01-15,2013-01-21.9
FS-2013-003,319.4,646,2013-01-16,2013-01-21.9
FS-2013-003,320.2,655,2013-01-16,2013-01-22.4
FS-2013-003,319.3,466,2013-01-17,2013-01-21.9
FS-2013-003,320.0,531,2013-01-17,2013-01-22.4
FS-2013-003,319.9,323,2013-01-18,2013-01-22.4
FS-2013-003,319.0,279,2013-01-18,2013-01-21.9
FS-2013-003,319.8,239,2013-01-19,2013-01-22.4
FS-2013-003,319.7,209,2013-01-19,2013-01-21.9
FS-2013-003,320.3,159,2013-01-20,2013-01-21.8
FS-2013-003,320.2,199,2013-01-20,2013-01-22.3
FS-2013-003,320.6,125,2013-01-21,2013-01-22.3
FS-2013-003,320.1,96,2013-01-21,2013-01-21.8
FS-2013-003,321.0,50,2013-01-22,2013-01-22.2
FS-2013-004,152.3,559,2013-01-25,2013-02-03.7
FS-2013-004,152.5,479,2013-01-25,2013-02-03.1
FS-2013-004,150.1,590,2013-01-26,2013-02-03.4
FS-2013-004,150.1,739,2013-01-26,2013-02-03.8
FS-2013-004,149.6,416,2013-01-27,2013-02-03.4
FS-2013-004,148.8,635,2013-01-27,2013-02-04.0
FS-2013-004,150.3,445,2013-01-28,2013-02-03.9
FS-2013-004,156.1,238,2013-01-28,2013-02-02.9
FS-2013-004,155.9,224,2013-01-29,2013-02-03.5
FS-2013-004,157.2,196,2013-01-29,2013-02-02.9
FS-2013-004,156.7,212,2013-01-30,2013-02-02.9
FS-2013-004,156.8,231,2013-01-30,2013-02-03.5
FS-2013-004,156.7,161,2013-01-31,2013-02-03.0
FS-2013-004,156.6,169,2013-01-31,2013-02-03.5
FS-2013-004,156.9,131,2013-02-01,2013-02-03.0
FS-2013-004,156.4,99,2013-02-01,2013-02-03.5
FS-2013-004,157.7,77,2013-02-02,2013-02-02.9
FS-2013-004,157.7,83,2013-02-02,2013-02-03.4
FS-2013-004,160.0,10,2013-02-03,2013-02-03.2
FS-2013-005,70.1,555,2013-02-27,2013-03-08.8
FS-2013-005,69.5,690,2013-02-28,2013-03-09.4
FS-2013-005,69.2,718,2013-02-28,2013-03-08.9
FS-2013-005,69.1,711,2013-03-01,2013-03-09.4
FS-2013-005,69.2,595,2013-03-01,2013-03-08.9
FS-2013-005,70.7,490,2013-03-02,2013-03-08.8
FS-2013-005,70.1,600,2013-03-02,2013-03-09.4
FS-2013-005,70.7,399,2013-03-03,2013-03-08.8
FS-2013-005,71.1,441,2013-03-03,2013-03-09.3
FS-2013-005,70.2,441,2013-03-04,2013-03-08.9
FS-2013-005,70.7,414,2013-03-04,2013-03-09.4
FS-2013-005,70.3,524,2013-03-05,2013-03-09.4
FS-2013-005,69.9,538,2013-03-05,2013-03-09.0
FS-2013-005,70.1,592,2013-03-06,2013-03-09.4
FS-2013-005,69.9,525,2013-03-06,2013-03-09.0
FS-2013-005,70.7,679,2013-03-07,2013-03-09.4
FS-2013-005,70.4,544,2013-03-07,2013-03-08.9
FS-2013-005,71.1,520,2013-03-08,2013-03-08.9
FS-2013-005,71.2,593,2013-03-08,2013-03-09.4
FS-2013-005,70.9,353,2013-03-09,2013-03-09.4
FS-2013-005,67.8,74,2013-03-09,2013-03-09.1
FS-2013-006,152.4,701,2013-03-23,2013-03-29.8
FS-2013-006,153.0,629,2013-03-23,2013-03-30.2
FS-2013-006,152.9,761,2013-03-24,2013-03-30.2
FS-2013-006,153.4,911,2013-03-24,2013-03-29.7
FS-2013-006,154.1,892,2013-03-25,2013-03-30.1
FS-2013-006,154.2,1023,2013-03-25,2013-03-29.6
FS-2013-006,154.9,1109,2013-03-26,2013-03-29.6
FS-2013-006,154.6,959,2013-03-26,2013-03-30.1
FS-2013-006,154.6,1072,2013-03-27,2013-03-29.6
FS-2013-006,154.7,950,2013-03-27,2013-03-30.1
FS-2013-006,154.5,804,2013-03-28,2013-03-30.1
FS-2013-006,154.9,1029,2013-03-28,2013-03-29.6
FS-2013-006,154.8,879,2013-03-29,2013-03-29.6
FS-2013-006,155.8,871,2013-03-29,2013-03-30.0
FS-2013-006,148.0,31,2013-03-30,2013-03-30.0
FS-2013-006,152.0,470,2013-03-30,2013-03-30.3
FS-2013-007,74.4,467,2013-03-27,2013-04-04.8
FS-2013-007,74.1,379,2013-03-28,2013-04-05.3
FS-2013-007,74.5,415,2013-03-28,2013-04-04.8
FS-2013-007,76.2,556,2013-03-29,2013-04-04.7
FS-2013-007,74.4,342,2013-03-29,2013-04-05.3
FS-2013-007,76.3,546,2013-03-30,2013-04-04.7
FS-2013-007,76.0,515,2013-03-30,2013-04-05.2
FS-2013-007,76.4,464,2013-03-31,2013-04-04.7
FS-2013-007,76.0,513,2013-03-31,2013-04-05.2
FS-2013-007,76.1,336,2013-04-01,2013-04-05.2
FS-2013-007,76.8,270,2013-04-01,2013-04-04.7
FS-2013-007,77.4,343,2013-04-02,2013-04-04.6
FS-2013-007,77.1,303,2013-04-02,2013-04-05.2
FS-2013-007,77.6,316,2013-04-03,2013-04-05.1
FS-2013-007,77.5,226,2013-04-03,2013-04-04.6
FS-2013-007,77.6,151,2013-04-04,2013-04-05.1
FS-2013-007,79.3,12,2013-04-04,2013-04-04.5
FS-2013-007,79.0,7,2013-04-05,2013-04-05.1
FS-2013-008,119.1,564,2013-03-28,2013-04-01.3
FS-2013-008,117.9,501,2013-03-29,2013-04-01.4
FS-2013-008,117.8,561,2013-03-29,2013-04-01.9
FS-2013-008,116.8,344,2013-03-30,2013-04-01.4
FS-2013-008,116.5,411,2013-03-30,2013-04-02.0
FS-2013-008,119.7,407,2013-03-31,2013-04-01.2
FS-2013-008,117.8,397,2013-03-31,2013-04-01.9
FS-2013-008,119.4,349,2013-04-01,2013-04-01.7
FS-2013-008,117.1,135,2013-04-01,2013-04-01.4
FS-2013-009,344.2,488,2013-04-03,2013-04-12.2
FS-2013-009,344.0,321,2013-04-04,2013-04-12.7
FS-2013-009,344.3,380,2013-04-04,2013-04-12.1
FS-2013-009,346.6,176,2013-04-05,2013-04-12.0
FS-2013-009,345.1,122,2013-04-05,2013-04-12.6
FS-2013-009,347.8,108,2013-04-06,2013-04-11.8
FS-2013-009,347.5,82,2013-04-06,2013-04-12.4
FS-2013-010,238.8,405,2013-04-12,2013-04-19.5
FS-2013-010,239.5,508,2013-04-13,2013-04-19.9
FS-2013-010,239.5,428,2013-04-13,2013-04-19.4
FS-2013-010,240.3,281,2013-04-14,2013-04-19.4
FS-2013-010,240.2,404,2013-04-14,2013-04-19.9
FS-2013-010,241.1,219,2013-04-15,2013-04-19.3
FS-2013-010,241.1,287,2013-04-15,2013-04-19.8
FS-2013-010,240.3,178,2013-04-16,2013-04-19.4
FS-2013-010,240.9,268,2013-04-16,2013-04-19.9
FS-2013-010,240.7,251,2013-04-17,2013-04-19.4
FS-2013-010,240.2,266,2013-04-17,2013-04-20.0
FS-2013-010,241.4,342,2013-04-18,2013-04-19.8
FS-2013-010,242.0,342,2013-04-18,2013-04-19.3
FS-2013-010,241.4,296,2013-04-19,2013-04-19.3
FS-2013-010,242.2,327,2013-04-19,2013-04-19.8
FS-2013-010,238.1,47,2013-04-20,2013-04-20.1
FS-2013-011,180.7,472,2013-04-14,2013-04-24.0
FS-2013-011,179.9,753,2013-04-15,2013-04-24.1
FS-2013-011,181.0,544,2013-04-15,2013-04-24.5
FS-2013-011,180.2,754,2013-04-16,2013-04-24.1
FS-2013-011,180.2,668,2013-04-16,2013-04-24.5
FS-2013-011,180.9,787,2013-04-17,2013-04-24.0
FS-2013-011,180.5,673,2013-04-17,2013-04-24.6
FS-2013-011,181.0,614,2013-04-18,2013-04-24.5
FS-2013-011,181.2,679,2013-04-18,2013-04-24.0
FS-2013-011,182.5,557,2013-04-19,2013-04-23.9
FS-2013-011,182.3,527,2013-04-19,2013-04-24.4
FS-2013-011,183.6,558,2013-04-20,2013-04-24.3
FS-2013-011,184.2,566,2013-04-20,2013-04-23.8
FS-2013-011,185.1,611,2013-04-21,2013-04-23.7
FS-2013-011,184.5,661,2013-04-21,2013-04-24.3
FS-2013-011,185.6,760,2013-04-22,2013-04-24.2
FS-2013-011,186.4,789,2013-04-22,2013-04-23.7
FS-2013-011,185.9,871,2013-04-23,2013-04-24.2
FS-2013-011,186.2,782,2013-04-23,2013-04-23.7
FS-2013-011,185.2,702,2013-04-24,2013-04-24.5
FS-2013-011,169.5,1710,2013-04-24,2013-04-25.0
FS-2013-011,164.5,883,2013-04-25,2013-04-25.4
FS-2013-011,180.3,576,2013-04-25,2013-04-24.9
FS-2013-011,163.6,4,2013-04-26,2013-05-22.7
FS-2013-012,154.3,619,2013-04-17,2013-04-25.9
FS-2013-012,155.3,417,2013-04-17,2013-04-26.4
FS-2013-012,155.1,807,2013-04-18,2013-04-26.4
FS-2013-012,154.0,840,2013-04-18,2013-04-26.0
FS-2013-012,152.9,625,2013-04-19,2013-04-26.1
FS-2013-012,154.0,757,2013-04-19,2013-04-26.5
FS-2013-012,152.5,521,2013-04-20,2013-04-26.6
FS-2013-012,150.3,355,2013-04-20,2013-04-26.2
FS-2013-012,149.1,210,2013-04-21,2013-04-26.3
FS-2013-012,149.9,272,2013-04-21,2013-04-26.8
FS-2013-012,150.5,128,2013-04-22,2013-04-26.7
FS-2013-012,148.6,56,2013-04-22,2013-04-26.4
FS-2013-012,150.3,68,2013-04-23,2013-04-26.7
FS-2013-012,150.2,64,2013-04-23,2013-04-26.2
FS-2013-012,150.5,239,2013-04-24,2013-04-27.0
FS-2013-012,145.9,2188,2013-04-24,2013-04-26.6
FS-2013-012,146.3,2491,2013-04-25,2013-04-26.5
FS-2013-012,152.6,562,2013-04-25,2013-04-26.8
FS-2013-012,140.3,1866,2013-04-26,2013-04-26.9
FS-2013-012,152.5,582,2013-04-26,2013-04-26.5
FS-2013-012,128.7,695,2013-04-27,2013-04-27.8
FS-2013-012,146.4,169,2013-04-27,2013-05-24.6
FS-2013-012,306.9,-77,2013-04-28,2013-05-13.6
FS-2013-012,122.6,138,2013-04-28,2013-04-28.2
FS-2013-013,100.6,425,2013-04-24,2013-04-30.4
FS-2013-013,100.7,372,2013-04-25,2013-04-30.4
FS-2013-013,100.0,187,2013-04-25,2013-05-01.2
FS-2013-013,103.0,213,2013-04-26,2013-04-30.1
FS-2013-013,102.7,71,2013-04-26,2013-04-30.7
FS-2013-013,103.2,180,2013-04-27,2013-04-30.1
FS-2013-013,103.9,46,2013-04-27,2013-04-30.5
FS-2013-013,103.6,27,2013-04-28,2013-04-30.5
FS-2013-013,103.4,144,2013-04-28,2013-04-30.1
FS-2013-013,104.8,12,2013-04-29,2013-04-30.4
FS-2013-013,104.8,26,2013-04-29,2013-04-29.9
FS-2013-014,73.7,3705,2013-04-24,2013-05-02.3
FS-2013-014,73.6,3679,2013-04-25,2013-05-02.3
FS-2013-014,75.1,966,2013-04-25,2013-05-03.0
FS-2013-014,72.9,3757,2013-04-26,2013-05-02.4
FS-2013-014,74.1,729,2013-04-26,2013-05-02.9
FS-2013-014,72.9,3724,2013-04-27,2013-05-02.3
FS-2013-014,73.6,990,2013-04-27,2013-05-02.9
FS-2013-014,73.1,831,2013-04-28,2013-05-02.9
FS-2013-014,73.3,3640,2013-04-28,2013-05-02.3
FS-2013-014,75.2,708,2013-04-29,2013-05-02.7
FS-2013-014,75.4,871,2013-04-29,2013-05-02.1
FS-2013-015,42.7,979,2013-04-24,2013-05-04.8
FS-2013-015,42.8,948,2013-04-25,2013-05-04.8
FS-2013-015,41.9,171,2013-04-25,2013-05-05.7
FS-2013-015,42.9,1086,2013-04-26,2013-05-04.7
FS-2013-015,42.4,175,2013-04-26,2013-05-05.3
FS-2013-015,43.0,1124,2013-04-27,2013-05-04.7
FS-2013-015,42.5,261,2013-04-27,2013-05-05.2
FS-2013-015,42.6,212,2013-04-28,2013-05-05.2
FS-2013-015,43.4,904,2013-04-28,2013-05-04.6
FS-2013-015,57.7,10,2013-04-29,2013-05-03.8
FS-2013-015,218.9,-32,2013-04-29,2013-05-19.9
FS-2013-016,35.2,708,2013-04-24,2013-05-04.9
FS-2013-016,23.2,1572,2013-04-25,2013-05-05.8
FS-2013-016,214.7,-64,2013-04-25,2013-05-19.2
FS-2013-016,22.4,1607,2013-04-26,2013-05-05.8
FS-2013-016,355.6,60,2013-04-26,2013-05-08.3
FS-2013-016,23.4,1606,2013-04-27,2013-05-05.8
FS-2013-016,4.4,128,2013-04-27,2013-05-07.7
FS-2013-016,6.1,91,2013-04-28,2013-05-07.6
FS-2013-016,23.5,1686,2013-04-28,2013-05-05.8
FS-2013-016,19.8,244,2013-04-29,2013-05-06.6
FS-2013-016,18.5,144,2013-04-29,2013-05-06.2
FS-2013-017,28.5,1772,2013-04-24,2013-05-05.6
FS-2013-017,28.4,1809,2013-04-25,2013-05-05.6
FS-2013-017,189.4,-33,2013-04-25,2013-04-24.1
FS-2013-017,28.3,1893,2013-04-26,2013-05-05.7
FS-2013-017,72.5,25,2013-04-26,2013-05-02.9
FS-2013-017,29.4,1962,2013-04-27,2013-05-05.6
FS-2013-017,57.9,48,2013-04-27,2013-05-04.3
FS-2013-017,39.8,119,2013-04-28,2013-05-05.3
FS-2013-017,28.9,2028,2013-04-28,2013-05-05.6
FS-2013-017,26.7,93,2013-04-29,2013-05-06.3
FS-2013-017,22.6,52,2013-04-29,2013-05-06.2
FS-2013-018,13.4,728,2013-04-24,2013-05-06.5
FS-2013-018,17.8,43,2013-04-25,2013-05-06.9
FS-2013-019,74.6,441,2013-04-27,2013-05-02.0
FS-2013-019,254.3,-24,2013-04-28,2013-05-16.4
FS-2013-019,74.8,433,2013-04-28,2013-05-02.0
FS-2013-019,254.5,-56,2013-04-29,2013-05-16.2
FS-2013-019,254.7,-35,2013-04-29,2013-05-15.6
FS-2013-020,328.0,563,2013-04-30,2013-05-10.7
FS-2013-020,326.9,867,2013-04-30,2013-05-10.3
FS-2013-020,327.4,963,2013-05-01,2013-05-10.7
FS-2013-020,326.8,1118,2013-05-01,2013-05-10.3
FS-2013-020,325.4,1291,2013-05-02,2013-05-10.4
FS-2013-020,326.3,1150,2013-05-02,2013-05-10.8
FS-2013-020,325.3,1155,2013-05-03,2013-05-10.4
FS-2013-020,325.4,1125,2013-05-03,2013-05-10.9
FS-2013-020,326.3,1087,2013-05-04,2013-05-10.3
FS-2013-020,326.1,987,2013-05-04,2013-05-10.8
FS-2013-020,327.4,928,2013-05-05,2013-05-10.2
FS-2013-020,327.1,929,2013-05-05,2013-05-10.7
FS-2013-020,329.0,814,2013-05-06,2013-05-10.1
FS-2013-020,328.4,843,2013-05-06,2013-05-10.6
FS-2013-020,330.0,633,2013-05-07,2013-05-10.0
FS-2013-020,330.2,735,2013-05-07,2013-05-10.5
FS-2013-020,332.0,666,2013-05-08,2013-05-10.4
FS-2013-020,331.9,553,2013-05-08,2013-05-09.9
FS-2013-020,332.2,631,2013-05-09,2013-05-09.9
FS-2013-020,332.7,664,2013-05-09,2013-05-10.3
FS-2013-020,327.8,271,2013-05-10,2013-05-10.2
FS-2013-020,331.8,730,2013-05-10,2013-05-10.4
FS-2013-021,194.3,464,2013-05-12,2013-05-20.7
FS-2013-021,192.4,535,2013-05-12,2013-05-20.4
FS-2013-021,193.2,548,2013-05-13,2013-05-20.8
FS-2013-021,193.6,879,2013-05-13,2013-05-20.3
FS-2013-021,195.7,1074,2013-05-14,2013-05-20.2
FS-2013-021,195.4,1034,2013-05-14,2013-05-20.7
FS-2013-021,197.3,834,2013-05-15,2013-05-20.6
FS-2013-021,196.6,922,2013-05-15,2013-05-20.1
FS-2013-021,196.4,889,2013-05-16,2013-05-20.6
FS-2013-021,196.3,800,2013-05-16,2013-05-20.1
FS-2013-021,196.9,672,2013-05-17,2013-05-20.1
