Designation,Strength,dB,Prediction Date,Detection Date
FS-2013-058,1755,3119.691623563034,2014-01-01.7,2014-01-01
FS-2013-058,1137,2020.585294501783,2014-01-01.5,2014-01-01
FS-2013-058,223,396.61413815522656,2014-01-02.4,2014-01-02
FS-2013-058,445,790.6609436192277,2014-01-02.6,2014-01-02
FS-2013-058,92,165.0001038947987,2014-01-03.1,2014-01-03
FS-2013-059,860,1528.1176656103698,2014-01-07.6,2014-01-01
FS-2013-059,1398,2484.7154669525626,2014-01-07.6,2014-01-01
FS-2013-059,1170,2079.263216542682,2014-01-07.6,2014-01-02
FS-2013-059,990,1759.222669378154,2014-01-08.1,2014-01-02
FS-2013-059,828,1471.2355534555986,2014-01-07.5,2014-01-03
FS-2013-059,853,1515.6745132890012,2014-01-07.9,2014-01-03
FS-2013-059,435,772.8998225027397,2014-01-07.6,2014-01-04
FS-2013-059,616,1094.4567370331713,2014-01-08.0,2014-01-04
FS-2013-059,88,157.97728606167675,2014-01-07.5,2014-01-05
FS-2013-059,238,423.21211455702957,2014-01-07.9,2014-01-05
FS-2013-059,4,46.76110488552284,2014-01-08.3,2014-01-06
FS-2013-059,3,58.21045576579151,2014-01-08.8,2014-01-06
FS-2014-001,441,783.556416957226,2014-01-05.5,2014-01-01
FS-2014-001,364,646.8172694775702,2014-01-05.5,2014-01-02
FS-2014-001,340,604.2081307240672,2014-01-06.0,2014-01-02
FS-2014-001,234,416.11865724377606,2014-01-05.5,2014-01-03
FS-2014-001,240,426.7590128326609,2014-01-06.0,2014-01-03
FS-2014-001,228,405.47935862226444,2014-01-05.5,2014-01-04
FS-2014-001,267,474.6519990905524,2014-01-06.0,2014-01-04
FS-2014-001,159,283.23726372638083,2014-01-05.5,2014-01-05
FS-2014-001,209,371.79613050168473,2014-01-06.0,2014-01-05
FS-2014-001,49,90.18394276390067,2014-01-06.1,2014-01-06
FS-2014-002,924,1641.888335658014,2014-01-13.9,2014-01-05
FS-2014-002,1414,2513.170752688469,2014-01-14.2,2014-01-06
FS-2014-002,1220,2168.1721817207786,2014-01-14.4,2014-01-06
FS-2014-002,1806,3210.4131454479802,2014-01-14.2,2014-01-07
FS-2014-002,1504,2673.2373299478227,2014-01-14.6,2014-01-07
FS-2014-002,1853,3294.0214088063162,2014-01-14.2,2014-01-08
FS-2014-002,1804,3206.8553924564703,2014-01-14.6,2014-01-08
FS-2014-002,2227,3959.397869914701,2014-01-14.1,2014-01-09
FS-2014-002,2093,3720.9876588246902,2014-01-14.6,2014-01-09
FS-2014-002,2288,4067.9325015578625,2014-01-14.3,2014-01-10
FS-2014-002,2381,4233.408668532944,2014-01-14.6,2014-01-10
FS-2014-002,1850,3288.684650420144,2014-01-14.5,2014-01-11
FS-2014-002,1981,3521.730587855759,2014-01-14.8,2014-01-11
FS-2014-002,1670,2968.4946797325906,2014-01-14.5,2014-01-12
FS-2014-002,1759,3126.80694759116,2014-01-14.9,2014-01-12
FS-2014-002,1585,2817.3050299898346,2014-01-14.9,2014-01-13
FS-2014-002,1492,2651.8945827777843,2014-01-14.6,2014-01-13
FS-2014-002,1044,1855.229291678284,2014-01-15.3,2014-01-14
FS-2014-002,904,1606.3341125726604,2014-01-15.1,2014-01-14
FS-2014-002,470,835.0664769275961,2014-01-15.3,2014-01-15
FS-2014-002,533,946.9835356592488,2014-01-15.7,2014-01-15
FS-2014-002,64,116.04938795632206,2014-01-16.1,2014-01-16
FS-2014-003,984,1748.5555812926868,2014-01-17.5,2014-01-08
FS-2014-003,747,1327.2632717185802,2014-01-18.0,2014-01-08
FS-2014-003,1566,2783.5107324114597,2014-01-17.6,2014-01-09
FS-2014-003,1432,2545.1833142624328,2014-01-18.0,2014-01-09
FS-2014-003,2007,3567.985757154663,2014-01-17.6,2014-01-10
FS-2014-003,1950,3466.580950467496,2014-01-18.1,2014-01-10
FS-2014-003,1931,3432.7799716728014,2014-01-17.6,2014-01-11
FS-2014-003,2118,3765.4660939269315,2014-01-18.1,2014-01-11
FS-2014-003,1400,2488.2723608331194,2014-01-17.5,2014-01-12
FS-2014-003,1760,3128.5857809972986,2014-01-18.1,2014-01-12
FS-2014-003,1217,2162.8375436641168,2014-01-18.0,2014-01-13
FS-2014-003,956,1698.776698749758,2014-01-17.5,2014-01-13
FS-2014-003,817,1451.6828517727329,2014-01-17.9,2014-01-14
FS-2014-003,707,1256.171973563909,2014-01-17.4,2014-01-14
FS-2014-003,546,970.0798975463748,2014-01-17.3,2014-01-15
FS-2014-003,638,1133.5503119105397,2014-01-17.9,2014-01-15
FS-2014-003,490,870.5934973047375,2014-01-17.8,2014-01-16
FS-2014-003,460,817.3038127418989,2014-01-17.2,2014-01-16
FS-2014-003,474,842.1717040178712,2014-01-17.4,2014-01-17
FS-2014-003,475,843.9480249017444,2014-01-17.9,2014-01-17
FS-2014-003,157,279.69836833169967,2014-01-18.2,2014-01-18
FS-2014-004,477,847.5006834399585,2014-01-21.0,2014-01-16
FS-2014-004,425,755.1393699086152,2014-01-20.4,2014-01-16
FS-2014-004,295,524.3349131788799,2014-01-20.3,2014-01-17
FS-2014-004,481,854.6060669591938,2014-01-21.0,2014-01-17
FS-2014-004,269,478.20028460852177,2014-01-20.2,2014-01-18
FS-2014-004,369,655.6949164388286,2014-01-20.8,2014-01-18
FS-2014-004,284,504.81492792017474,2014-01-20.7,2014-01-19
FS-2014-004,258,458.6857682234348,2014-01-20.2,2014-01-19
FS-2014-004,255,453.36409248006174,2014-01-20.7,2014-01-20
FS-2014-004,171,304.4773852789176,2014-01-20.3,2014-01-20
FS-2014-005,687,1220.6279894984661,2014-01-27.4,2014-01-17
FS-2014-005,2409,4283.230682067281,2014-01-27.2,2014-01-18
FS-2014-005,813,1444.572846675068,2014-01-28.0,2014-01-18
FS-2014-005,2606,4633.779621476313,2014-01-27.7,2014-01-19
FS-2014-005,3246,5772.788661152716,2014-01-27.2,2014-01-19
FS-2014-005,3277,5827.965432121934,2014-01-27.7,2014-01-20
FS-2014-005,3643,6479.445449304707,2014-01-27.3,2014-01-20
FS-2014-005,3428,6096.737052372412,2014-01-27.8,2014-01-21
FS-2014-005,4130,7346.406872693997,2014-01-27.2,2014-01-21
FS-2014-005,3924,6979.67055267269,2014-01-27.2,2014-01-22
FS-2014-005,3736,6644.996200769718,2014-01-27.7,2014-01-22
FS-2014-005,3538,6292.538430757963,2014-01-27.7,2014-01-23
FS-2014-005,3521,6262.277814265135,2014-01-27.2,2014-01-23
FS-2014-005,3399,6045.117728453823,2014-01-27.2,2014-01-24
FS-2014-005,3468,6167.936835828693,2014-01-27.7,2014-01-24
FS-2014-005,3480,6189.296931616026,2014-01-27.7,2014-01-25
FS-2014-005,3423,6087.8371376874675,2014-01-27.2,2014-01-25
FS-2014-005,3335,5931.20078249496,2014-01-27.2,2014-01-26
FS-2014-005,3552,6317.459048060918,2014-01-27.7,2014-01-26
FS-2014-005,2804,4986.133986657883,2014-01-27.8,2014-01-27
FS-2014-005,1724,3064.5483864408316,2014-01-27.5,2014-01-27
FS-2014-005,789,1401.9135975023473,2014-01-28.4,2014-01-28
FS-2014-005,315,559.8307024092425,2014-01-28.2,2014-01-28
FS-2014-006,60,109.11457765841283,2014-01-27.2,2014-01-18
FS-2014-006,492,874.1463181097007,2014-01-27.6,2014-01-18
FS-2014-006,12,34.507496888402684,2014-01-27.6,2014-01-19
FS-2014-006,11,33.93528865604407,2014-01-27.2,2014-01-19
FS-2014-007,467,829.7376165422156,2014-01-19.1,2014-01-18
FS-2014-007,476,845.7243513834514,2014-01-19.6,2014-01-19
FS-2014-007,329,584.6810969205646,2014-01-19.3,2014-01-19
FS-2014-007,39,73.26617780216975,2014-01-20.1,2014-01-20
FS-2014-008,621,1103.3414952359024,2014-02-09.5,2014-02-01
FS-2014-008,497,883.0284612669653,2014-02-09.7,2014-02-01
FS-2014-008,636,1129.99628312349,2014-02-09.5,2014-02-02
FS-2014-008,705,1252.6175237205978,2014-02-09.8,2014-02-02
FS-2014-008,738,1311.2673560082728,2014-02-09.4,2014-02-03
FS-2014-008,759,1348.5914853140878,2014-02-09.8,2014-02-03
FS-2014-008,683,1213.5193320802643,2014-02-09.9,2014-02-04
FS-2014-008,640,1137.1043539083603,2014-02-09.4,2014-02-04
FS-2014-008,515,915.005221118399,2014-02-10.1,2014-02-05
FS-2014-008,325,577.5807243090981,2014-02-09.6,2014-02-05
FS-2014-008,306,543.8568600654111,2014-02-10.2,2014-02-06
FS-2014-008,218,387.74975210618544,2014-02-09.7,2014-02-06
FS-2014-008,262,465.78165305099714,2014-02-10.2,2014-02-07
FS-2014-008,332,590.0065072518868,2014-02-09.7,2014-02-07
FS-2014-008,540,959.4199458055472,2014-02-09.6,2014-02-08
FS-2014-008,374,664.5728018238377,2014-02-10.2,2014-02-08
FS-2014-008,810,1439.2403669782811,2014-02-09.6,2014-02-09
FS-2014-008,606,1076.6874841923277,2014-02-10.2,2014-02-09
FS-2014-008,471,836.8427751862534,2014-02-10.3,2014-02-10
FS-2014-008,64,116.04938795632206,2014-02-10.1,2014-02-10
FS-2014-009,472,838.6190791366491,2014-02-10.5,2014-02-01
FS-2014-009,511,907.8991365332382,2014-02-10.6,2014-02-02
FS-2014-009,331,588.2313581894072,2014-02-11.1,2014-02-02
FS-2014-009,368,653.9193677392564,2014-02-10.8,2014-02-03
FS-2014-009,378,671.6752770161698,2014-02-11.2,2014-02-03
FS-2014-009,249,442.7213801219661,2014-02-11.4,2014-02-04
FS-2014-009,247,439.1740059924703,2014-02-10.9,2014-02-04
FS-2014-009,170,302.70696513442545,2014-02-11.4,2014-02-05
FS-2014-009,100,179.0649761900428,2014-02-11.0,2014-02-05
FS-2014-009,56,102.20356033672117,2014-02-11.5,2014-02-06
FS-2014-010,402,714.2930515631513,2014-02-14.7,2014-02-06
FS-2014-010,596,1058.918590893585,2014-02-14.0,2014-02-06
FS-2014-010,476,845.7243513834514,2014-02-14.5,2014-02-07
FS-2014-010,446,792.4370913043991,2014-02-14.0,2014-02-07
FS-2014-010,202,359.38996746250575,2014-02-14.2,2014-02-08
FS-2014-010,359,637.9398684049869,2014-02-14.6,2014-02-08
FS-2014-010,111,198.437522405669,2014-02-14.4,2014-02-09
FS-2014-010,153,272.6216486438206,2014-02-14.7,2014-02-09
FS-2014-010,75,135.21190924995955,2014-02-14.9,2014-02-10
FS-2014-010,84,150.96208033050783,2014-02-14.4,2014-02-10
FS-2014-010,62,112.57929468175278,2014-02-14.9,2014-02-11
FS-2014-010,63,114.31370106934986,2014-02-14.4,2014-02-11
FS-2014-010,62,112.57929468175278,2014-02-14.9,2014-02-12
