Prediction Date,Detection Date,Strength,Number of AR detected
2015-01-01,2015-01-01,0.0,0.0
2015-01-02,2015-01-02,817.3333333333334,1.0
2015-01-03,2015-01-03,0.0,0.0
2015-01-04,2015-01-04,895.8571428571429,0.0
2015-01-05,2015-01-05,0.0,0.0
2015-01-06,2015-01-06,0.0,0.0
2015-01-07,2015-01-07,0.0,1.0
2015-01-08,2015-01-08,26.0,0.0
2015-01-09,2015-01-09,5338.882352941177,1.0
2015-01-10,2015-01-10,0.0,1.0
2015-01-11,2015-01-11,0.0,0.0
2015-01-12,2015-01-12,0.0,0.0
2015-01-13,2015-01-13,352.0,0.0
2015-01-14,2015-01-14,2871.346153846154,0.0
2015-01-15,2015-01-15,0.0,0.0
2015-01-16,2015-01-16,0.0,0.0
2015-01-17,2015-01-17,0.0,0.0
2015-01-18,2015-01-18,788.625,0.0
2015-01-19,2015-01-19,0.0,0.0
2015-01-20,2015-01-20,474.25,1.0
2015-01-21,2015-01-21,1767.6521739130435,0.0
2015-01-22,2015-01-22,391.1,0.0
2015-01-23,2015-01-23,0.0,1.0
2015-01-24,2015-01-24,0.0,0.0
2015-01-25,2015-01-25,1183.6666666666667,0.0
2015-01-26,2015-01-26,1790.6842105263158,0.0
2015-01-27,2015-01-27,0.0,1.0
2015-01-28,2015-01-28,0.0,0.0
2015-01-29,2015-01-29,2765.521739130435,1.0
2015-01-30,2015-01-30,0.0,0.0
2015-01-31,2015-01-31,0.0,0.0
2015-02-01,2015-02-01,0.0,0.0
2015-02-02,2015-02-02,631.8,0.0
2015-02-03,2015-02-03,2496.3,1.0
2015-02-04,2015-02-04,1934.142857142857,1.0
2015-02-05,2015-02-05,220.66666666666663,0.0
2015-02-06,2015-02-06,0.0,0.0
2015-02-07,2015-02-07,723.8,0.0
2015-02-08,2015-02-08,1679.9,1.0
2015-02-09,2015-02-09,0.0,0.0
2015-02-10,2015-02-10,450.3333333333333,0.0
2015-02-11,2015-02-11,0.0,0.0
2015-02-12,2015-02-12,0.0,0.0
2015-02-13,2015-02-13,0.0,0.0
2015-02-14,2015-02-14,1010.4444444444443,1.0
2015-02-15,2015-02-15,0.0,0.0
2015-02-16,2015-02-16,366.4,0.0
2015-02-17,2015-02-17,0.0,0.0
2015-02-18,2015-02-18,2490.25,0.0
2015-02-19,2015-02-19,710.6923076923077,2.0
2015-02-20,2015-02-20,0.0,0.0
2015-02-21,2015-02-21,769.0,0.0
2015-02-22,2015-02-22,0.0,0.0
2015-02-23,2015-02-23,0.0,0.0
2015-02-24,2015-02-24,0.0,0.0
2015-02-25,2015-02-25,0.0,0.0
2015-02-26,2015-02-26,316.4,0.0
2015-02-27,2015-02-27,0.0,0.0
2015-02-28,2015-02-28,2331.451612903226,0.0
2015-03-01,2015-03-01,0.0,0.0
2015-03-02,2015-03-02,260.3333333333333,0.0
2015-03-03,2015-03-03,1198.5882352941176,0.0
2015-03-04,2015-03-04,806.8571428571429,0.0
2015-03-05,2015-03-05,0.0,0.0
2015-03-06,2015-03-06,944.2,0.0
2015-03-07,2015-03-07,404.44444444444446,1.0
2015-03-08,2015-03-08,0.0,0.0
2015-03-09,2015-03-09,0.0,0.0
2015-03-10,2015-03-10,1115.8823529411766,0.0
2015-03-11,2015-03-11,0.0,0.0
2015-03-12,2015-03-12,0.0,0.0
2015-03-13,2015-03-13,0.0,1.0
2015-03-14,2015-03-14,0.0,0.0
2015-03-15,2015-03-15,0.0,0.0
2015-03-16,2015-03-16,0.0,0.0
2015-03-17,2015-03-17,1456.0434782608695,0.0
2015-03-18,2015-03-18,0.0,1.0
2015-03-19,2015-03-19,0.0,0.0
2015-03-20,2015-03-20,926.2142857142856,0.0
2015-03-21,2015-03-21,0.0,0.0
2015-03-22,2015-03-22,0.0,1.0
2015-03-23,2015-03-23,0.0,0.0
2015-03-24,2015-03-24,2055.6666666666665,1.0
2015-03-25,2015-03-25,0.0,1.0
2015-03-26,2015-03-26,957.0,0.0
2015-03-27,2015-03-27,189.5,1.0
2015-03-28,2015-03-28,0.0,0.0
2015-03-29,2015-03-29,0.0,0.0
2015-03-30,2015-03-30,0.0,0.0
2015-03-31,2015-03-31,1334.952380952381,0.0
2015-04-01,2015-04-01,0.0,0.0
2015-04-02,2015-04-02,0.0,0.0
2015-04-03,2015-04-03,2059.3809523809523,0.0
2015-04-04,2015-04-04,0.0,1.0
2015-04-05,2015-04-05,0.0,0.0
2015-04-06,2015-04-06,0.0,0.0
2015-04-07,2015-04-07,1126.75,0.0
2015-04-08,2015-04-08,0.0,0.0
2015-04-09,2015-04-09,0.0,0.0
2015-04-10,2015-04-10,0.0,0.0
2015-04-11,2015-04-11,0.0,0.0
2015-04-12,2015-04-12,268.5,1.0
2015-04-13,2015-04-13,348.3333333333333,0.0
2015-04-14,2015-04-14,240.0,0.0
2015-04-15,2015-04-15,0.0,2.0
2015-04-16,2015-04-16,291.5,0.0
2015-04-17,2015-04-17,5381.705882352941,0.0
2015-04-18,2015-04-18,369.2,1.0
2015-04-19,2015-04-19,0.0,0.0
2015-04-20,2015-04-20,0.0,0.0
2015-04-21,2015-04-21,2554.2272727272725,0.0
2015-04-22,2015-04-22,0.0,0.0
2015-04-23,2015-04-23,0.0,1.0
2015-04-24,2015-04-24,0.0,0.0
2015-04-25,2015-04-25,0.0,0.0
2015-04-26,2015-04-26,1105.3846153846157,0.0
2015-04-27,2015-04-27,0.0,0.0
2015-04-28,2015-04-28,278.2,0.0
2015-04-29,2015-04-29,898.5,0.0
2015-04-30,2015-04-30,0.0,0.0
2015-05-01,2015-05-01,490.875,1.0
2015-05-02,2015-05-02,0.0,0.0
2015-05-03,2015-05-03,0.0,0.0
2015-05-04,2015-05-04,0.0,2.0
2015-05-05,2015-05-05,0.0,0.0
2015-05-06,2015-05-06,0.0,1.0
2015-05-07,2015-05-07,381.5,0.0
2015-05-08,2015-05-08,1088.7142857142858,2.0
2015-05-09,2015-05-09,0.0,0.0
2015-05-10,2015-05-10,0.0,1.0
2015-05-11,2015-05-11,315.6666666666667,1.0
2015-05-12,2015-05-12,4158.0,2.0
2015-05-13,2015-05-13,1186.809523809524,0.0
2015-05-14,2015-05-14,0.0,0.0
2015-05-15,2015-05-15,268.6666666666667,1.0
2015-05-16,2015-05-16,756.25,0.0
2015-05-17,2015-05-17,0.0,0.0
2015-05-18,2015-05-18,1896.157894736842,0.0
2015-05-19,2015-05-19,0.0,0.0
2015-05-20,2015-05-20,0.0,0.0
2015-05-21,2015-05-21,451.0,0.0
2015-05-22,2015-05-22,0.0,0.0
2015-05-23,2015-05-23,0.0,0.0
2015-05-24,2015-05-24,0.0,0.0
2015-05-25,2015-05-25,0.0,0.0
2015-05-26,2015-05-26,0.0,0.0
2015-05-27,2015-05-27,0.0,0.0
2015-05-28,2015-05-28,979.0,0.0
2015-05-29,2015-05-29,0.0,1.0
2015-05-30,2015-05-30,306.3,0.0
2015-05-31,2015-05-31,0.0,0.0
2015-06-01,2015-06-01,0.0,1.0
2015-06-02,2015-06-02,0.0,0.0
2015-06-03,2015-06-03,0.0,0.0
2015-06-04,2015-06-04,2086.3793103448274,0.0
2015-06-05,2015-06-05,0.0,2.0
2015-06-06,2015-06-06,732.3125,0.0
2015-06-07,2015-06-07,0.0,2.0
2015-06-08,2015-06-08,0.0,0.0
2015-06-09,2015-06-09,0.0,0.0
2015-06-10,2015-06-10,316.1818181818182,0.0
2015-06-11,2015-06-11,0.0,0.0
2015-06-12,2015-06-12,244.16666666666663,1.0
2015-06-13,2015-06-13,0.0,0.0
2015-06-14,2015-06-14,0.0,1.0
2015-06-15,2015-06-15,0.0,0.0
2015-06-16,2015-06-16,0.0,0.0
2015-06-17,2015-06-17,0.0,1.0
2015-06-18,2015-06-18,0.0,0.0
2015-06-19,2015-06-19,0.0,0.0
2015-06-20,2015-06-20,0.0,0.0
2015-06-21,2015-06-21,0.0,0.0
2015-06-22,2015-06-22,0.0,0.0
2015-06-23,2015-06-23,0.0,0.0
2015-06-24,2015-06-24,210.75,0.0
2015-06-25,2015-06-25,0.0,0.0
2015-06-26,2015-06-26,0.0,0.0
2015-06-27,2015-06-27,0.0,0.0
2015-06-28,2015-06-28,0.0,0.0
2015-06-29,2015-06-29,0.0,1.0
2015-06-30,2015-06-30,2897.655172413793,1.0
2015-07-01,2015-07-01,0.0,1.0
2015-07-02,2015-07-02,1087.142857142857,0.0
2015-07-03,2015-07-03,0.0,1.0
2015-07-04,2015-07-04,0.0,0.0
2015-07-05,2015-07-05,0.0,1.0
2015-07-06,2015-07-06,733.8181818181819,0.0
2015-07-07,2015-07-07,0.0,0.0
2015-07-08,2015-07-08,1337.9166666666667,0.0
2015-07-09,2015-07-09,0.0,1.0
2015-07-10,2015-07-10,0.0,0.0
2015-07-11,2015-07-11,0.0,0.0
2015-07-12,2015-07-12,0.0,0.0
2015-07-13,2015-07-13,1563.0,1.0
2015-07-14,2015-07-14,0.0,0.0
2015-07-15,2015-07-15,0.0,0.0
2015-07-16,2015-07-16,0.0,0.0
