Mitad_semana,Filas_unicas,
2012-01,2.0,903.125
2012-01.5,0.0,347.8
2012-02,0.0,532.0
2012-02.5,0.0,780.4285714285714
2012-03,5.0,842.6086956521739
2012-03.5,0.0,509.57142857142856
2012-04,1.0,887.0833333333334
2012-04.5,1.0,561.6666666666666
2012-05,0.0,593.5
2012-05.5,0.0,817.8333333333334
2012-06,0.0,348.6666666666667
2012-06.5,0.0,0.0
2012-07,3.0,396.5
2012-07.5,0.0,349.0
2012-08,0.0,341.27272727272725
2012-08.5,2.0,324.4
2012-09,0.0,0.0
2012-09.5,0.0,0.0
2012-10,1.0,0.0
2012-10.5,1.0,0.0
2012-11,1.0,0.0
2012-11.5,1.0,0.0
2012-12,1.0,707.6
2012-12.5,2.0,521.5
2012-13,1.0,413.75
2012-13.5,0.0,180.0
2012-14,0.0,0.0
2012-14.5,0.0,0.0
2012-15,1.0,360.6
2012-15.5,0.0,0.0
2012-16,4.0,0.0
2012-16.5,0.0,0.0
2012-17,2.0,0.0
2012-17.5,0.0,0.0
2012-18,2.0,557.8333333333334
2012-18.5,2.0,571.75
2012-19,3.0,345.5
2012-19.5,2.0,0.0
2012-20,3.0,436.0
2012-20.5,1.0,505.5
2012-21,0.0,795.8666666666667
2012-21.5,1.0,1672.0
2012-22,0.0,1930.75
2012-22.5,3.0,940.6666666666666
2012-23,0.0,0.0
2012-23.5,0.0,0.0
2012-24,3.0,406.0
2012-24.5,0.0,151.33333333333334
2012-25,0.0,644.4
2012-25.5,0.0,440.5
2012-26,1.0,403.6
2012-26.5,1.0,397.8181818181818
2012-27,0.0,686.625
2012-27.5,3.0,499.3333333333333
2012-28,0.0,0.0
2012-28.5,0.0,1291.6
2012-29,0.0,1281.2857142857142
2012-29.5,1.0,869.5
2012-30,4.0,1219.571428571429
2012-30.5,1.0,2253.375
2012-31,3.0,1382.0
2012-31.5,2.0,770.4285714285714
2012-32,3.0,602.25
2012-32.5,0.0,688.5
2012-33,0.0,1126.125
2012-33.5,1.0,724.6666666666666
2012-34,2.0,469.0
2012-34.5,0.0,592.0
2012-35,4.0,388.6428571428572
2012-35.5,2.0,182.88888888888889
2012-36,2.0,156.0
2012-36.5,0.0,706.8571428571429
2012-37,1.0,686.3125
2012-37.5,0.0,712.8235294117648
2012-38,2.0,849.7619047619048
2012-38.5,2.0,802.0
2012-39,2.0,698.6363636363636
2012-39.5,1.0,0.0
2012-40,1.0,469.875
2012-40.5,0.0,986.9411764705884
2012-41,2.0,1372.3636363636365
2012-41.5,2.0,942.2
2012-42,3.0,352.6666666666667
2012-42.5,1.0,0.0
2012-43,3.0,0.0
2012-43.5,0.0,874.0
2012-44,1.0,745.875
2012-44.5,0.0,522.125
2012-45,2.0,465.0833333333333
2012-45.5,2.0,281.0
2012-46,2.0,59.66666666666666
2012-46.5,1.0,0.0
2012-47,0.0,0.0
2012-47.5,0.0,0.0
2012-48,3.0,0.0
2012-48.5,0.0,0.0
2012-49,0.0,550.3333333333334
2012-49.5,1.0,482.3333333333333
2012-50,0.0,380.875
2012-50.5,0.0,629.375
2012-51,3.0,341.2857142857143
2012-51.5,0.0,175.85714285714286
2012-52,0.0,597.625
2012-52.5,2.0,9.0
2012-53,0.0,378.6
2012-53.5,0.0,0.0
