Semana,Filas_unicas,
2012-01,2.0,644.6666666666666
2012-02,0.0,753.7142857142857
2012-03,5.0,381.0
2012-04,2.0,812.2765957446809
2012-05,0.0,0.0
2012-06,0.0,584.7142857142857
2012-07,3.0,0.0
2012-08,2.0,344.2916666666667
2012-09,0.0,0.0
2012-10,2.0,0.0
2012-11,2.0,0.0
2012-12,3.0,0.0
2012-13,1.0,478.04545454545456
2012-14,0.0,0.0
2012-15,1.0,360.6
2012-16,4.0,0.0
2012-17,2.0,0.0
2012-18,4.0,589625.0
2012-19,5.0,472.75
2012-20,4.0,0.0
2012-21,1.0,294.22222222222223
2012-22,3.0,1757.9583333333333
2012-23,0.0,0.0
2012-24,3.0,0.0
2012-25,0.0,192.33333333333331
2012-26,2.0,512.0833333333334
2012-27,3.0,503.73333333333335
2012-28,0.0,0.0
2012-29,1.0,485.5384615384616
2012-30,5.0,970.2
2012-31,5.0,2190.769230769231
2012-32,3.0,721.0
2012-33,1.0,0.0
2012-34,2.0,783.3478260869565
2012-35,6.0,474.0
2012-36,2.0,235.42105263157896
2012-37,1.0,429.94444444444446
2012-38,4.0,903.3333333333334
2012-39,3.0,774.8666666666667
2012-40,1.0,0.0
2012-41,4.0,609.2222222222222
2012-42,4.0,1636.5416666666667
2012-43,3.0,0.0
2012-44,1.0,0.0
2012-45,4.0,519.1666666666666
2012-46,3.0,317.1818181818182
2012-47,0.0,0.0
2012-48,3.0,0.0
2012-49,1.0,0.0
2012-50,0.0,482.09090909090907
2012-51,3.0,392.6666666666667
2012-52,2.0,296.5
2012-53,0.0,385.8
