Semana,Filas_unicas,
2014-00,4.0,730.4
2014-01,2.0,455.1818181818182
2014-02,2.0,1295.3023255813953
2014-03,4.0,328.2142857142857
2014-04,4.0,2437.851851851852
2014-05,3.0,0.0
2014-06,4.0,361.7627118644068
2014-07,2.0,654.6666666666666
2014-08,5.0,1129.6041666666667
2014-09,1.0,1168.3478260869565
2014-10,3.0,713.1219512195122
2014-11,5.0,570.1851851851852
2014-12,1.0,586.2448979591836
2014-13,4.0,671.0625
2014-14,4.0,757.1764705882352
2014-15,2.0,700.5862068965517
2014-16,2.0,373.5
2014-17,2.0,0.0
2014-18,5.0,1414.9411764705883
2014-19,2.0,812.5
2014-20,4.0,665.4313725490196
2014-21,2.0,317.52941176470586
2014-22,1.0,1729.7333333333331
2014-23,2.0,1262.1739130434785
2014-24,2.0,841.7142857142857
2014-25,3.0,3640.161290322581
2014-26,9.0,1424.576923076923
2014-27,3.0,1050.6
2014-28,0.0,1297.7894736842106
2014-29,1.0,1395.525
2014-30,7.0,1848.3653846153843
2014-31,2.0,109.0
2014-32,2.0,629.45
2014-33,7.0,2282.1153846153848
2014-34,1.0,622.1944444444445
2014-35,4.0,1073.5434782608695
2014-36,3.0,1194.3658536585365
2014-37,4.0,1416.0
2014-38,5.0,1110.95
2014-39,3.0,1491.6756756756756
2014-40,1.0,1040.027397260274
2014-41,3.0,3696.3870967741937
2014-42,3.0,1564.516129032258
2014-43,1.0,1571.6724137931035
2014-44,1.0,1552.7096774193549
2014-45,4.0,3715.808510638298
2014-46,1.0,1717.1304347826087
2014-47,4.0,2461.5522388059703
2014-48,1.0,1295.439393939394
2014-49,4.0,2975.9333333333334
2014-50,0.0,1347.098591549296
2014-51,3.0,1641.6559139784947
2014-52,3.0,1145.8055555555557
