strength,date,Unnamed: 2,filename
550,2016-00,2016-01-01,AR_LIST_2016.01.01_00:00:00.txt
217,2016-01,2016-01-01,AR_LIST_2016.01.01_00:00:00.txt
1003,2016-00,2016-01-01,AR_LIST_2016.01.01_12:00:00.txt
372,2016-01,2016-01-01,AR_LIST_2016.01.01_12:00:00.txt
488,2016-00,2016-01-02,AR_LIST_2016.01.02_00:00:00.txt
280,2016-01,2016-01-02,AR_LIST_2016.01.02_00:00:00.txt
90,2016-00,2016-01-02,AR_LIST_2016.01.02_12:00:00.txt
265,2016-01,2016-01-02,AR_LIST_2016.01.02_12:00:00.txt
47,2016-01,2016-01-03,AR_LIST_2016.01.03_00:00:00.txt
52,2016-01,2016-01-03,AR_LIST_2016.01.03_12:00:00.txt
23,2016-01,2016-01-04,AR_LIST_2016.01.04_00:00:00.txt
21,2016-01,2016-01-04,AR_LIST_2016.01.04_12:00:00.txt
483,2016-02,2016-01-06,AR_LIST_2016.01.06_12:00:00.txt
609,2016-02,2016-01-07,AR_LIST_2016.01.07_00:00:00.txt
633,2016-02,2016-01-07,AR_LIST_2016.01.07_12:00:00.txt
558,2016-02,2016-01-08,AR_LIST_2016.01.08_00:00:00.txt
462,2016-02,2016-01-08,AR_LIST_2016.01.08_12:00:00.txt
481,2016-02,2016-01-08,AR_LIST_2016.01.08_12:00:00.txt
358,2016-02,2016-01-09,AR_LIST_2016.01.09_00:00:00.txt
588,2016-03,2016-01-09,AR_LIST_2016.01.09_00:00:00.txt
189,2016-02,2016-01-09,AR_LIST_2016.01.09_12:00:00.txt
678,2016-02,2016-01-09,AR_LIST_2016.01.09_12:00:00.txt
438,2016-02,2016-01-09,AR_LIST_2016.01.09_12:00:00.txt
125,2016-02,2016-01-10,AR_LIST_2016.01.10_00:00:00.txt
664,2016-03,2016-01-10,AR_LIST_2016.01.10_00:00:00.txt
655,2016-03,2016-01-10,AR_LIST_2016.01.10_00:00:00.txt
23,2016-02,2016-01-10,AR_LIST_2016.01.10_12:00:00.txt
670,2016-02,2016-01-10,AR_LIST_2016.01.10_12:00:00.txt
1047,2016-02,2016-01-10,AR_LIST_2016.01.10_12:00:00.txt
14,2016-02,2016-01-11,AR_LIST_2016.01.11_00:00:00.txt
504,2016-03,2016-01-11,AR_LIST_2016.01.11_00:00:00.txt
1340,2016-03,2016-01-11,AR_LIST_2016.01.11_00:00:00.txt
441,2016-02,2016-01-11,AR_LIST_2016.01.11_12:00:00.txt
1663,2016-02,2016-01-11,AR_LIST_2016.01.11_12:00:00.txt
233,2016-02,2016-01-12,AR_LIST_2016.01.12_00:00:00.txt
1567,2016-03,2016-01-12,AR_LIST_2016.01.12_00:00:00.txt
175,2016-02,2016-01-12,AR_LIST_2016.01.12_12:00:00.txt
1624,2016-03,2016-01-12,AR_LIST_2016.01.12_12:00:00.txt
116,2016-02,2016-01-13,AR_LIST_2016.01.13_00:00:00.txt
