strength,date,,filename
594,2021-01-16.8,2021-01-13.5,AR_LIST_2021.01.13_12:00:00.txt
378,2021-01-17.2,2021-01-14.0,AR_LIST_2021.01.14_00:00:00.txt
443,2021-01-16.8,2021-01-14.5,AR_LIST_2021.01.14_12:00:00.txt
100,2021-01-17.2,2021-01-15.0,AR_LIST_2021.01.15_00:00:00.txt
52,2021-01-17.1,2021-01-15.5,AR_LIST_2021.01.15_12:00:00.txt
,,,
421,2021-05-18.0,2021-05-10.0,AR_LIST_2021.05.10_00:00:00.txt
584,2021-05-17.4,2021-05-10.5,AR_LIST_2021.05.10_12:00:00.txt
617,2021-05-17.9,2021-05-11.0,AR_LIST_2021.05.11_00:00:00.txt
969,2021-05-17.2,2021-05-11.5,AR_LIST_2021.05.11_12:00:00.txt
998,2021-05-17.8,2021-05-12.0,AR_LIST_2021.05.12_00:00:00.txt
1058,2021-05-17.2,2021-05-12.5,AR_LIST_2021.05.12_12:00:00.txt
998,2021-05-17.7,2021-05-13.0,AR_LIST_2021.05.13_00:00:00.txt
1019,2021-05-17.2,2021-05-13.5,AR_LIST_2021.05.13_12:00:00.txt
911,2021-05-17.6,2021-05-14.0,AR_LIST_2021.05.14_00:00:00.txt
855,2021-05-17.1,2021-05-14.5,AR_LIST_2021.05.14_12:00:00.txt
666,2021-05-17.6,2021-05-15.0,AR_LIST_2021.05.15_00:00:00.txt
562,2021-05-17.1,2021-05-15.5,AR_LIST_2021.05.15_12:00:00.txt
444,2021-05-17.5,2021-05-16.0,AR_LIST_2021.05.16_00:00:00.txt
325,2021-05-17.0,2021-05-16.5,AR_LIST_2021.05.16_12:00:00.txt
290,2021-05-17.4,2021-05-17.0,AR_LIST_2021.05.17_00:00:00.txt
54,2021-05-17.1,2021-05-17.5,AR_LIST_2021.05.17_12:00:00.txt
507,2021-06-22.3,2021-06-13.0,AR_LIST_2021.06.13_00:00:00.txt
898,2021-06-21.9,2021-06-13.5,AR_LIST_2021.06.13_12:00:00.txt
1108,2021-06-22.3,2021-06-14.0,AR_LIST_2021.06.14_00:00:00.txt
1310,2021-06-21.9,2021-06-14.5,AR_LIST_2021.06.14_12:00:00.txt
1213,2021-06-22.4,2021-06-15.0,AR_LIST_2021.06.15_00:00:00.txt
1365,2021-06-22.0,2021-06-15.5,AR_LIST_2021.06.15_12:00:00.txt
965,2021-06-22.6,2021-06-16.0,AR_LIST_2021.06.16_00:00:00.txt
1249,2021-06-22.1,2021-06-16.5,AR_LIST_2021.06.16_12:00:00.txt
785,2021-06-22.6,2021-06-17.0,AR_LIST_2021.06.17_00:00:00.txt
1060,2021-06-22.2,2021-06-17.5,AR_LIST_2021.06.17_12:00:00.txt
677,2021-06-22.7,2021-06-18.0,AR_LIST_2021.06.18_00:00:00.txt
808,2021-06-22.2,2021-06-18.5,AR_LIST_2021.06.18_12:00:00.txt
494,2021-06-22.7,2021-06-19.0,AR_LIST_2021.06.19_00:00:00.txt
