strength,date,Unnamed: 2,filename
594.0,2021-01-16,2021-01-13.5,AR_LIST_2021.01.13_12:00:00.txt
378.0,2021-01-17,2021-01-14.0,AR_LIST_2021.01.14_00:00:00.txt
443.0,2021-01-16,2021-01-14.5,AR_LIST_2021.01.14_12:00:00.txt
100.0,2021-01-17,2021-01-15.0,AR_LIST_2021.01.15_00:00:00.txt
52.0,2021-01-17,2021-01-15.5,AR_LIST_2021.01.15_12:00:00.txt
421.0,2021-05-18,2021-05-10.0,AR_LIST_2021.05.10_00:00:00.txt
584.0,2021-05-17,2021-05-10.5,AR_LIST_2021.05.10_12:00:00.txt
617.0,2021-05-17,2021-05-11.0,AR_LIST_2021.05.11_00:00:00.txt
969.0,2021-05-17,2021-05-11.5,AR_LIST_2021.05.11_12:00:00.txt
998.0,2021-05-17,2021-05-12.0,AR_LIST_2021.05.12_00:00:00.txt
1058.0,2021-05-17,2021-05-12.5,AR_LIST_2021.05.12_12:00:00.txt
998.0,2021-05-17,2021-05-13.0,AR_LIST_2021.05.13_00:00:00.txt
1019.0,2021-05-17,2021-05-13.5,AR_LIST_2021.05.13_12:00:00.txt
911.0,2021-05-17,2021-05-14.0,AR_LIST_2021.05.14_00:00:00.txt
855.0,2021-05-17,2021-05-14.5,AR_LIST_2021.05.14_12:00:00.txt
666.0,2021-05-17,2021-05-15.0,AR_LIST_2021.05.15_00:00:00.txt
562.0,2021-05-17,2021-05-15.5,AR_LIST_2021.05.15_12:00:00.txt
444.0,2021-05-17,2021-05-16.0,AR_LIST_2021.05.16_00:00:00.txt
325.0,2021-05-17,2021-05-16.5,AR_LIST_2021.05.16_12:00:00.txt
290.0,2021-05-17,2021-05-17.0,AR_LIST_2021.05.17_00:00:00.txt
54.0,2021-05-17,2021-05-17.5,AR_LIST_2021.05.17_12:00:00.txt
507.0,2021-06-22,2021-06-13.0,AR_LIST_2021.06.13_00:00:00.txt
898.0,2021-06-21,2021-06-13.5,AR_LIST_2021.06.13_12:00:00.txt
1108.0,2021-06-22,2021-06-14.0,AR_LIST_2021.06.14_00:00:00.txt
1310.0,2021-06-21,2021-06-14.5,AR_LIST_2021.06.14_12:00:00.txt
1213.0,2021-06-22,2021-06-15.0,AR_LIST_2021.06.15_00:00:00.txt
1365.0,2021-06-22,2021-06-15.5,AR_LIST_2021.06.15_12:00:00.txt
965.0,2021-06-22,2021-06-16.0,AR_LIST_2021.06.16_00:00:00.txt
1249.0,2021-06-22,2021-06-16.5,AR_LIST_2021.06.16_12:00:00.txt
785.0,2021-06-22,2021-06-17.0,AR_LIST_2021.06.17_00:00:00.txt
1060.0,2021-06-22,2021-06-17.5,AR_LIST_2021.06.17_12:00:00.txt
