Semana,Filas_unicas,strength,date
2022-00,0.0,2022-01,468.52941176470586
2022-01,0.0,2022-02,829.6666666666666
2022-02,1.0,2022-03,718.9047619047619
2022-03,1.0,2022-05,564.2857142857143
2022-04,1.0,2022-06,527.125
2022-05,5.0,2022-07,805.0
2022-06,1.0,2022-08,1524.016129032258
2022-07,1.0,2022-09,1724.84
2022-08,2.0,2022-10,385.3448275862069
2022-09,1.0,2022-11,438.0
2022-10,1.0,2022-12,582.2333333333333
2022-11,0.0,2022-13,1271.4827586206898
2022-12,3.0,2022-14,1011.44
2022-13,2.0,2022-15,821.3076923076923
2022-14,1.0,2022-16,1663.0
2022-15,2.0,2022-17,688.0
2022-16,6.0,2022-18,938.9347826086956
2022-17,3.0,2022-19,2444.0238095238096
2022-18,1.0,2022-20,494.6206896551725
2022-19,4.0,2022-21,771.8163265306123
2022-20,4.0,2022-22,1068.7377049180327
2022-21,3.0,2022-23,2065.0
2022-22,0.0,2022-24,935.1538461538462
2022-23,1.0,2022-25,493.5833333333333
2022-24,3.0,2022-26,826.3666666666667
2022-25,1.0,2022-27,1777.409090909091
2022-26,1.0,2022-28,954.0
2022-27,1.0,2022-29,828.2272727272727
2022-28,4.0,2022-30,668.3166666666667
2022-29,1.0,2022-31,1116.6571428571428
2022-30,1.0,2022-32,572.9166666666666
2022-31,1.0,2022-33,572.0
2022-32,2.0,2022-35,745.1794871794872
2022-33,0.0,2022-36,1745.2666666666669
2022-34,1.0,2022-37,2439.259259259259
2022-35,2.0,2022-38,1610.8157894736842
2022-36,2.0,2022-39,2139.3636363636365
2022-37,0.0,2022-40,971.4468085106384
2022-38,3.0,2022-41,992.1216216216216
2022-39,2.0,2022-42,1309.098591549296
2022-40,1.0,2022-43,1883.795918367347
2022-41,0.0,2022-44,1986.830508474576
2022-42,0.0,2022-45,811.7272727272727
2022-43,3.0,2022-46,707.6333333333333
2022-44,3.0,2022-47,913.0285714285716
2022-45,1.0,2022-48,2216.770833333333
2022-46,2.0,2022-49,1025.8823529411766
2022-47,0.0,2022-50,1361.9076923076923
2022-48,2.0,2022-51,996.875
2022-49,4.0,2022-52,2071.313131313131
2022-50,2.0,2023-01,2739.448275862069
2022-51,8.0,2023-02,559.0
2022-52,2.0,,
