Semana,Filas_unicas,
2011-00,1.0,0.0
2011-01,0.0,0.0
2011-02,0.0,0.0
2011-03,2.0,0.0
2011-04,1.0,0.0
2011-05,0.0,0.0
2011-06,0.0,0.0
2011-07,1.0,0.0
2011-08,2.0,508.57142857142856
2011-09,2.0,134.6
2011-10,2.0,220.92307692307693
2011-11,0.0,0.0
2011-12,5.0,748.547619047619
2011-13,1.0,424.5625
2011-14,2.0,157.625
2011-15,2.0,0.0
2011-16,3.0,0.0
2011-17,2.0,377.06666666666666
2011-18,0.0,543.8518518518518
2011-19,0.0,266.75
2011-20,2.0,0.0
2011-21,2.0,0.0
2011-22,5.0,354.625
2011-23,0.0,0.0
2011-24,2.0,1040.842105263158
2011-25,0.0,0.0
2011-26,1.0,0.0
2011-27,0.0,0.0
2011-28,2.0,520.2857142857143
2011-29,1.0,0.0
2011-30,2.0,0.0
2011-31,0.0,0.0
2011-32,0.0,0.0
2011-33,3.0,0.0
2011-34,5.0,483.8181818181818
2011-35,3.0,0.0
2011-36,3.0,628.6153846153846
2011-37,3.0,1377.1290322580646
2011-38,3.0,1040.1
2011-39,4.0,860.0958904109589
2011-40,3.0,1323.517857142857
2011-41,2.0,567.2380952380952
2011-42,4.0,476.8148148148149
2011-43,3.0,577.0
2011-44,4.0,1182.1847826086955
2011-45,7.0,364.8518518518519
2011-46,6.0,711.4
2011-47,4.0,746.4285714285714
2011-48,3.0,1126.279411764706
2011-49,3.0,368.4666666666666
2011-50,0.0,706.5294117647059
2011-51,4.0,548.9166666666666
2011-52,3.0,761.7142857142857
