strength,date,,filename
1228,2012-01-07.4,2012-01-01,AR_LIST_2012.01.01_00:00:00.txt
1148,2012-01-07.0,2012-01-01,AR_LIST_2012.01.01_12:00:00.txt
1092,2012-01-07.5,2012-01-02,AR_LIST_2012.01.02_00:00:00.txt
954,2012-01-07.0,2012-01-02,AR_LIST_2012.01.02_12:00:00.txt
824,2012-01-07.5,2012-01-03,AR_LIST_2012.01.03_00:00:00.txt
799,2012-01-06.8,2012-01-03,AR_LIST_2012.01.03_12:00:00.txt
645,2012-01-07.3,2012-01-04,AR_LIST_2012.01.04_00:00:00.txt
535,2012-01-06.7,2012-01-04,AR_LIST_2012.01.04_12:00:00.txt
318,2012-01-07.2,2012-01-05,AR_LIST_2012.01.05_00:00:00.txt
408,2012-01-06.6,2012-01-05,AR_LIST_2012.01.05_12:00:00.txt
390,2012-01-07.1,2012-01-06,AR_LIST_2012.01.06_00:00:00.txt
405,2012-01-06.6,2012-01-06,AR_LIST_2012.01.06_12:00:00.txt
218,2012-01-07.2,2012-01-07,AR_LIST_2012.01.07_00:00:00.txt
532,2012-01-14.3,2012-01-11,AR_LIST_2012.01.11_12:00:00.txt
725,2012-01-14.7,2012-01-12,AR_LIST_2012.01.12_00:00:00.txt
861,2012-01-14.1,2012-01-12,AR_LIST_2012.01.12_12:00:00.txt
954,2012-01-14.5,2012-01-13,AR_LIST_2012.01.13_00:00:00.txt
1003,2012-01-14.0,2012-01-13,AR_LIST_2012.01.13_12:00:00.txt
818,2012-01-14.6,2012-01-14,AR_LIST_2012.01.14_00:00:00.txt
383,2012-01-14.3,2012-01-14,AR_LIST_2012.01.14_12:00:00.txt
53,2012-01-15.1,2012-01-15,AR_LIST_2012.01.15_00:00:00.txt
494,2012-02-11.9,2012-02-01,AR_LIST_2012.02.01_00:00:00.txt
693,2012-02-11.4,2012-02-01,AR_LIST_2012.02.01_12:00:00.txt
875,2012-02-11.8,2012-02-02,AR_LIST_2012.02.02_00:00:00.txt
866,2012-02-11.3,2012-02-02,AR_LIST_2012.02.02_12:00:00.txt
914,2012-02-11.8,2012-02-03,AR_LIST_2012.02.03_00:00:00.txt
804,2012-02-11.3,2012-02-03,AR_LIST_2012.02.03_12:00:00.txt
809,2012-02-11.8,2012-02-04,AR_LIST_2012.02.04_00:00:00.txt
639,2012-02-11.2,2012-02-04,AR_LIST_2012.02.04_12:00:00.txt
626,2012-02-11.8,2012-02-05,AR_LIST_2012.02.05_00:00:00.txt
543,2012-02-11.3,2012-02-05,AR_LIST_2012.02.05_12:00:00.txt
455,2012-02-11.8,2012-02-06,AR_LIST_2012.02.06_00:00:00.txt
282,2012-02-11.2,2012-02-06,AR_LIST_2012.02.06_12:00:00.txt
153,2012-02-11.8,2012-02-07,AR_LIST_2012.02.07_00:00:00.txt
33,2012-02-11.2,2012-02-07,AR_LIST_2012.02.07_12:00:00.txt
631,2012-03-29.2,2012-03-19,AR_LIST_2012.03.19_12:00:00.txt
660,2012-03-29.7,2012-03-20,AR_LIST_2012.03.20_00:00:00.txt
852,2012-03-29.3,2012-03-20,AR_LIST_2012.03.20_12:00:00.txt
703,2012-03-29.9,2012-03-21,AR_LIST_2012.03.21_00:00:00.txt
692,2012-03-29.3,2012-03-21,AR_LIST_2012.03.21_12:00:00.txt
