strength,date,Unnamed: 2,filename
447,2013-00,2013-00,AR_LIST_2013.01.01_00:00:00.txt
178,2013-00,2013-00,AR_LIST_2013.01.01_12:00:00.txt
95,2013-00,2013-00,AR_LIST_2013.01.02_00:00:00.txt
464,2013-00.5,2013-00,AR_LIST_2013.01.02_12:00:00.txt
643,2013-00.5,2013-00.5,AR_LIST_2013.01.03_00:00:00.txt
459,2013-01,2013-00.5,AR_LIST_2013.01.03_00:00:00.txt
656,2013-00.5,2013-00.5,AR_LIST_2013.01.03_12:00:00.txt
539,2013-01,2013-00.5,AR_LIST_2013.01.03_12:00:00.txt
701,2013-00.5,2013-00.5,AR_LIST_2013.01.04_00:00:00.txt
685,2013-01,2013-00.5,AR_LIST_2013.01.04_00:00:00.txt
719,2013-00.5,2013-00.5,AR_LIST_2013.01.04_12:00:00.txt
753,2013-01,2013-00.5,AR_LIST_2013.01.04_12:00:00.txt
730,2013-00.5,2013-00.5,AR_LIST_2013.01.05_00:00:00.txt
844,2013-01,2013-00.5,AR_LIST_2013.01.05_00:00:00.txt
383,2013-00.5,2013-00.5,AR_LIST_2013.01.05_12:00:00.txt
826,2013-01,2013-00.5,AR_LIST_2013.01.05_12:00:00.txt
60,2013-01,2013-01,AR_LIST_2013.01.06_00:00:00.txt
934,2013-01,2013-01,AR_LIST_2013.01.06_00:00:00.txt
1038,2013-01,2013-01,AR_LIST_2013.01.06_12:00:00.txt
1157,2013-01,2013-01,AR_LIST_2013.01.07_00:00:00.txt
1048,2013-01,2013-01,AR_LIST_2013.01.07_12:00:00.txt
646,2013-01,2013-01,AR_LIST_2013.01.08_00:00:00.txt
191,2013-01,2013-01,AR_LIST_2013.01.08_12:00:00.txt
500,2013-03,2013-01.5,AR_LIST_2013.01.12_12:00:00.txt
715,2013-03,2013-02,AR_LIST_2013.01.13_00:00:00.txt
1071,2013-03,2013-02,AR_LIST_2013.01.13_12:00:00.txt
1021,2013-03,2013-02,AR_LIST_2013.01.14_00:00:00.txt
1091,2013-03,2013-02,AR_LIST_2013.01.14_12:00:00.txt
881,2013-03,2013-02,AR_LIST_2013.01.15_00:00:00.txt
861,2013-03,2013-02,AR_LIST_2013.01.15_12:00:00.txt
655,2013-03,2013-02,AR_LIST_2013.01.16_00:00:00.txt
646,2013-03,2013-02,AR_LIST_2013.01.16_12:00:00.txt
531,2013-03,2013-02.5,AR_LIST_2013.01.17_00:00:00.txt
466,2013-03,2013-02.5,AR_LIST_2013.01.17_12:00:00.txt
323,2013-03,2013-02.5,AR_LIST_2013.01.18_00:00:00.txt
279,2013-03,2013-02.5,AR_LIST_2013.01.18_12:00:00.txt
239,2013-03,2013-02.5,AR_LIST_2013.01.19_00:00:00.txt
209,2013-03,2013-02.5,AR_LIST_2013.01.19_12:00:00.txt
199,2013-03,2013-03,AR_LIST_2013.01.20_00:00:00.txt
159,2013-03,2013-03,AR_LIST_2013.01.20_12:00:00.txt
125,2013-03,2013-03,AR_LIST_2013.01.21_00:00:00.txt
96,2013-03,2013-03,AR_LIST_2013.01.21_12:00:00.txt
50,2013-03,2013-03,AR_LIST_2013.01.22_00:00:00.txt
559,2013-05,2013-03.5,AR_LIST_2013.01.25_00:00:00.txt
479,2013-05,2013-03.5,AR_LIST_2013.01.25_12:00:00.txt
