Mitad_semana,Filas_unicas,
2013-00,2.0,296.0
2013-00.5,3.0,661.5
2013-01,6.0,724.8571428571429
2013-01.5,0.0,500.0
2013-02,1.0,867.625
2013-02.5,0.0,341.1666666666667
2013-03,0.0,125.8
2013-03.5,1.0,591.75
2013-04,2.0,324.625
2013-04.5,1.0,120.0
2013-05,0.0,10.0
2013-05.5,0.0,0.0
2013-06,0.0,0.0
2013-06.5,1.0,0.0
2013-07,3.0,0.0
2013-07.5,0.0,0.0
2013-08,0.0,555.0
2013-08.5,3.0,634.0
2013-09,3.0,484.25
2013-09.5,1.0,460.5
2013-10,3.0,0.0
2013-10.5,0.0,0.0
2013-11,0.0,0.0
2013-11.5,0.0,665.0
2013-12,1.0,904.8888888888888
2013-12.5,1.0,542.2352941176471
2013-13,3.0,349.7692307692308
2013-13.5,2.0,151.0
2013-14,1.0,0.0
2013-14.5,0.0,447.0
2013-15,1.0,461.2352941176471
2013-15.5,0.0,515.2941176470588
2013-16,1.0,694.5333333333333
2013-16.5,1.0,1066.5454545454545
2013-17,2.0,523.3333333333334
2013-17.5,2.0,1132.5
2013-18,1.0,762.625
2013-18.5,2.0,574.0
2013-19,4.0,822.9230769230769
2013-19.5,0.0,1066.5833333333333
2013-20,2.0,627.9230769230769
2013-20.5,0.0,43.0
2013-21,3.0,471.57142857142856
2013-21.5,1.0,161.75
2013-22,0.0,0.0
2013-22.5,0.0,0.0
2013-23,0.0,0.0
2013-23.5,3.0,0.0
2013-24,2.0,409.0
2013-24.5,1.0,25.0
2013-25,2.0,0.0
2013-25.5,0.0,410.0
2013-26,2.0,294.0
2013-26.5,1.0,0.0
2013-27,0.0,404.0
2013-27.5,0.0,255.16666666666663
2013-28,3.0,202.875
2013-28.5,1.0,734.4444444444445
2013-29,1.0,513.4285714285714
2013-29.5,0.0,87.91666666666667
2013-30,1.0,430.75
2013-30.5,2.0,670.0
2013-31,0.0,940.625
2013-31.5,2.0,793.8333333333334
2013-32,0.0,334.25
2013-32.5,1.0,578.5
2013-33,2.0,657.0909090909091
2013-33.5,0.0,339.6
2013-34,5.0,284.5
2013-34.5,0.0,1105.0
2013-35,0.0,369.1666666666667
2013-35.5,1.0,0.0
2013-36,0.0,1028.3333333333333
2013-36.5,1.0,1609.1666666666667
2013-37,2.0,1043.375
2013-37.5,3.0,363.5
2013-38,1.0,0.0
2013-38.5,0.0,0.0
2013-39,1.0,660.25
2013-39.5,2.0,963.625
2013-40,3.0,603.6923076923077
2013-40.5,0.0,174.75
2013-41,3.0,526.5
2013-41.5,2.0,656.2727272727273
2013-42,1.0,905.0
2013-42.5,1.0,947.1428571428572
2013-43,5.0,1207.1176470588234
2013-43.5,1.0,1521.5625
2013-44,2.0,1784.0666666666666
2013-44.5,2.0,1304.7222222222222
2013-45,4.0,803.9047619047619
2013-45.5,1.0,561.125
2013-46,2.0,657.3333333333334
2013-46.5,0.0,811.8333333333334
2013-47,1.0,712.7619047619048
2013-47.5,1.0,752.0
2013-48,1.0,885.7142857142857
2013-48.5,0.0,1176.5
2013-49,6.0,1160.7692307692307
2013-49.5,0.0,1114.909090909091
2013-50,0.0,1050.9130434782608
2013-50.5,3.0,1053.888888888889
2013-51,1.0,748.8666666666667
2013-51.5,1.0,1039.9
2013-52,0.0,1696.75
2013-52.5,0.0,0.0
