Mitad_semana,Filas_unicas,strength,date
2016-00,0.0,2016-00.5,408.125
2016-00.5,2.0,2016-01,125.2
2016-01,1.0,2016-01.5,499.4
2016-01.5,1.0,2016-02,771.55
2016-02,0.0,2016-02.5,673.7222222222222
2016-02.5,0.0,2016-03,318.8333333333333
2016-03,1.0,2016-03.5,370.3684210526316
2016-03.5,0.0,2016-04,422.5
2016-04,1.0,2016-04.5,853.0
2016-04.5,0.0,2016-05,363.27272727272725
2016-05,1.0,2016-05.5,336.6666666666667
2016-05.5,0.0,2016-06,1238.25
2016-06,0.0,2016-06.5,759.8461538461538
2016-06.5,0.0,2016-07,910.7894736842104
2016-07,2.0,2016-07.5,471.6315789473685
2016-07.5,0.0,2016-08,1020.0625
2016-08,0.0,2016-08.5,2506.833333333333
2016-08.5,0.0,2016-09,882.5833333333334
2016-09,0.0,2016-09.5,557.625
2016-09.5,2.0,2016-10,428.125
2016-10,0.0,2016-11.5,1255.6666666666667
2016-10.5,2.0,2016-12,1172.6363636363635
2016-11,0.0,2016-12.5,380.6666666666667
2016-11.5,2.0,2016-13,287.7142857142857
2016-12,0.0,2016-13.5,774.0
2016-12.5,1.0,2016-14,841.6923076923077
2016-13,0.0,2016-14.5,445.0
2016-13.5,0.0,2016-15.5,454.3333333333333
2016-14,0.0,2016-16,340.54545454545456
2016-14.5,2.0,2016-16.5,336.6666666666667
2016-15,0.0,2016-17,509.4166666666667
2016-15.5,0.0,2016-17.5,1015.7777777777778
2016-16,1.0,2016-18,655.8888888888889
2016-16.5,1.0,2016-18.5,742.6363636363636
2016-17,1.0,2016-19,700.5333333333333
2016-17.5,1.0,2016-19.5,496.0
2016-18,1.0,2016-20,303.75
2016-18.5,1.0,2016-22,437.0
2016-19,0.0,2016-22.5,872.3636363636364
2016-19.5,0.0,2016-23,755.1176470588235
2016-20,1.0,2016-23.5,306.55555555555554
2016-20.5,0.0,2016-24,86.0
2016-21,0.0,2016-26.5,641.0
2016-21.5,0.0,2016-27,431.72222222222223
2016-22,0.0,2016-27.5,527.9166666666666
2016-22.5,0.0,2016-28,214.83333333333331
2016-23,0.0,2016-30.5,470.5
2016-23.5,1.0,2016-31,558.9
2016-24,0.0,2016-32.5,482.5
2016-24.5,1.0,2016-33,976.125
2016-25,0.0,2016-33.5,333.0
2016-25.5,0.0,2016-34,92.0
2016-26,0.0,2016-36,819.5
2016-26.5,0.0,2016-36.5,817.8
2016-27,0.0,2016-37,322.93333333333334
2016-27.5,2.0,2016-37.5,114.0
2016-28,2.0,2016-38,488.0
2016-28.5,0.0,2016-38.5,291.42857142857144
2016-29,0.0,2016-39,1208.3846153846157
2016-29.5,0.0,2016-39.5,1977.3333333333333
2016-30,0.0,2016-40,759.25
2016-30.5,1.0,2016-40.5,448.0
2016-31,0.0,2016-41,177.2
2016-31.5,0.0,2016-46,783.6666666666666
2016-32,6.0,2016-46.5,798.1666666666666
2016-32.5,0.0,2016-47,289.85714285714283
2016-33,1.0,,
2016-33.5,0.0,,
2016-34,0.0,,
2016-34.5,0.0,,
2016-35,0.0,,
2016-35.5,2.0,,
2016-36,0.0,,
2016-36.5,0.0,,
2016-37,0.0,,
2016-37.5,1.0,,
2016-38,0.0,,
2016-38.5,0.0,,
2016-39,0.0,,
2016-39.5,0.0,,
2016-40,1.0,,
2016-40.5,1.0,,
2016-41,0.0,,
2016-41.5,0.0,,
2016-42,0.0,,
2016-42.5,0.0,,
2016-43,0.0,,
2016-43.5,0.0,,
2016-44,0.0,,
2016-44.5,1.0,,
2016-45,0.0,,
2016-45.5,0.0,,
2016-46,0.0,,
2016-46.5,0.0,,
2016-47,0.0,,
2016-47.5,1.0,,
2016-48,0.0,,
2016-48.5,0.0,,
2016-49,0.0,,
2016-49.5,0.0,,
2016-50,0.0,,
2016-50.5,0.0,,
2016-51,0.0,,
2016-51.5,0.0,,
2016-52,0.0,,
2016-52.5,0.0,,
