strength,date,,filename
443,2017-02-18.0,2017-02-12.0,AR_LIST_2017.02.12_00:00:00.txt
716,2017-02-17.5,2017-02-12.5,AR_LIST_2017.02.12_12:00:00.txt
463,2017-02-18.9,2017-02-12.5,AR_LIST_2017.02.12_12:00:00.txt
679,2017-02-18.0,2017-02-13.0,AR_LIST_2017.02.13_00:00:00.txt
457,2017-02-19.4,2017-02-13.0,AR_LIST_2017.02.13_00:00:00.txt
648,2017-02-17.6,2017-02-13.5,AR_LIST_2017.02.13_12:00:00.txt
544,2017-02-18.9,2017-02-13.5,AR_LIST_2017.02.13_12:00:00.txt
583,2017-02-18.0,2017-02-14.0,AR_LIST_2017.02.14_00:00:00.txt
520,2017-02-19.4,2017-02-14.0,AR_LIST_2017.02.14_00:00:00.txt
631,2017-02-17.6,2017-02-14.5,AR_LIST_2017.02.14_12:00:00.txt
609,2017-02-19.0,2017-02-14.5,AR_LIST_2017.02.14_12:00:00.txt
530,2017-02-18.1,2017-02-15.0,AR_LIST_2017.02.15_00:00:00.txt
564,2017-02-19.5,2017-02-15.0,AR_LIST_2017.02.15_00:00:00.txt
415,2017-02-17.6,2017-02-15.5,AR_LIST_2017.02.15_12:00:00.txt
504,2017-02-19.0,2017-02-15.5,AR_LIST_2017.02.15_12:00:00.txt
226,2017-02-18.2,2017-02-16.0,AR_LIST_2017.02.16_00:00:00.txt
430,2017-02-19.5,2017-02-16.0,AR_LIST_2017.02.16_00:00:00.txt
91,2017-02-17.9,2017-02-16.5,AR_LIST_2017.02.16_12:00:00.txt
348,2017-02-19.1,2017-02-16.5,AR_LIST_2017.02.16_12:00:00.txt
269,2017-02-19.6,2017-02-17.0,AR_LIST_2017.02.17_00:00:00.txt
189,2017-02-19.1,2017-02-17.5,AR_LIST_2017.02.17_12:00:00.txt
146,2017-02-19.8,2017-02-18.0,AR_LIST_2017.02.18_00:00:00.txt
80,2017-02-19.4,2017-02-18.5,AR_LIST_2017.02.18_12:00:00.txt
93,2017-02-19.9,2017-02-19.0,AR_LIST_2017.02.19_00:00:00.txt
21,2017-02-19.6,2017-02-19.5,AR_LIST_2017.02.19_12:00:00.txt
28,2017-02-20.1,2017-02-20.0,AR_LIST_2017.02.20_00:00:00.txt
510,2017-03-18.1,2017-03-12.5,AR_LIST_2017.03.12_12:00:00.txt
745,2017-03-18.6,2017-03-13.0,AR_LIST_2017.03.13_00:00:00.txt
815,2017-03-18.1,2017-03-13.5,AR_LIST_2017.03.13_12:00:00.txt
530,2017-03-18.7,2017-03-14.0,AR_LIST_2017.03.14_00:00:00.txt
452,2017-03-18.2,2017-03-14.5,AR_LIST_2017.03.14_12:00:00.txt
191,2017-03-18.7,2017-03-15.0,AR_LIST_2017.03.15_00:00:00.txt
